 1.628000000000e-10  8.022921857329e-03 
 1.728000000000e-10 -6.685579653728e-03 
 1.828000000000e-10 -2.098775477483e-02 
 1.928000000000e-10 -3.286046557698e-02 
 2.028000000000e-10 -4.054478527114e-02 
 2.128000000000e-10 -4.280996433918e-02 
 2.228000000000e-10 -3.914839043884e-02 
 2.328000000000e-10 -2.986824756065e-02 
 2.428000000000e-10 -1.607074006646e-02 
 2.528000000000e-10  4.775314006678e-04 
 2.628000000000e-10  1.756075357798e-02 
 2.728000000000e-10  3.279855157233e-02 
 2.828000000000e-10  4.397471577001e-02 
 2.928000000000e-10  4.936567487866e-02 
 3.028000000000e-10  4.801150810749e-02 
 3.128000000000e-10  3.987536884482e-02 
 3.228000000000e-10  2.586731120489e-02 
 3.328000000000e-10  7.738838363343e-03 
 3.428000000000e-10 -1.212752971598e-02 
 3.528000000000e-10 -3.101341149747e-02 
 3.628000000000e-10 -4.622423440877e-02 
 3.728000000000e-10 -5.547825519553e-02 
 3.828000000000e-10 -5.726056646776e-02 
 3.928000000000e-10 -5.106964549591e-02 
 4.028000000000e-10 -3.750842085689e-02 
 4.128000000000e-10 -1.821823357334e-02 
 4.228000000000e-10  4.318758680064e-03 
 4.328000000000e-10  2.706660545348e-02 
 4.428000000000e-10  4.683184274075e-02 
 4.528000000000e-10  6.071649616086e-02 
 4.628000000000e-10  6.654487525171e-02 
 4.728000000000e-10  6.322396929931e-02 
 4.828000000000e-10  5.092955410067e-02 
 4.928000000000e-10  3.108743392322e-02 
 5.028000000000e-10  6.191745101924e-03 
 5.128000000000e-10 -2.047014929727e-02 
 5.228000000000e-10 -4.521521414821e-02 
 5.328000000000e-10 -6.448517579740e-02 
 5.428000000000e-10 -7.535681772988e-02 
 5.528000000000e-10 -7.600209098140e-02 
 5.628000000000e-10 -6.600761383351e-02 
 5.728000000000e-10 -4.644406091451e-02 
 5.828000000000e-10 -1.970535211472e-02 
 5.928000000000e-10  1.075021139958e-02 
 6.028000000000e-10  4.079085357368e-02 
 6.128000000000e-10  6.616009034161e-02 
 6.228000000000e-10  8.309555701838e-02 
 6.328000000000e-10  8.890836282099e-02 
 6.428000000000e-10  8.242470661279e-02 
 6.528000000000e-10  6.419746714947e-02 
 6.628000000000e-10  3.639085809103e-02 
 6.728000000000e-10  2.522457103174e-03 
 6.828000000000e-10 -3.290851281270e-02 
 6.928000000000e-10 -6.497530175323e-02 
 7.028000000000e-10 -8.899638234968e-02 
 7.128000000000e-10 -1.012777861389e-01 
 7.228000000000e-10 -9.971495250327e-02 
 7.328000000000e-10 -8.413740682542e-02 
 7.428000000000e-10 -5.631086628232e-02 
 7.528000000000e-10 -1.968353861014e-02 
 7.628000000000e-10  2.098548059918e-02 
 7.728000000000e-10  6.015629979615e-02 
 7.828000000000e-10  9.220853405361e-02 
 7.928000000000e-10  1.123150645312e-01 
 8.028000000000e-10  1.172288730188e-01 
 8.128000000000e-10  1.058355425212e-01 
 8.228000000000e-10  7.931782679261e-02 
 8.328000000000e-10  4.090488801074e-02 
 8.428000000000e-10 -4.523328637827e-03 
 8.528000000000e-10 -5.092584624460e-02 
 8.628000000000e-10 -9.177820170825e-02 
 8.728000000000e-10 -1.210066119186e-01 
 8.828000000000e-10 -1.340411744927e-01 
 8.928000000000e-10 -1.286034817778e-01 
 9.028000000000e-10 -1.050361472734e-01 
 9.128000000000e-10 -6.616054842148e-02 
 9.228000000000e-10 -1.682917235388e-02 
 9.328000000000e-10  3.656359771887e-02 
 9.428000000000e-10  8.668936586966e-02 
 9.528000000000e-10  1.262203186254e-01 
 9.628000000000e-10  1.490614815743e-01 
 9.728000000000e-10  1.514931915457e-01 
 9.828000000000e-10  1.327879168093e-01 
 9.928000000000e-10  9.513165542546e-02 
 1.002800000000e-09  4.316392512290e-02 
 1.012800000000e-09 -1.653407255102e-02 
 1.022800000000e-09 -7.600134847306e-02 
 1.032800000000e-09 -1.267301010778e-01 
 1.042800000000e-09 -1.609941050931e-01 
 1.052800000000e-09 -1.733544881456e-01 
 1.062800000000e-09 -1.616487977703e-01 
 1.072800000000e-09 -1.271725714480e-01 
 1.082800000000e-09 -7.421231007185e-02 
 1.092800000000e-09 -9.360578838764e-03 
 1.102800000000e-09  5.900964921735e-02 
 1.112800000000e-09  1.213904256106e-01 
 1.122800000000e-09  1.684196585005e-01 
 1.132800000000e-09  1.926862438000e-01 
 1.142800000000e-09  1.902563513492e-01 
 1.152800000000e-09  1.612326166206e-01 
 1.162800000000e-09  1.093187830536e-01 
 1.172800000000e-09  4.096361715445e-02 
 1.182800000000e-09 -3.527139228931e-02 
 1.192800000000e-09 -1.091628367749e-01 
 1.202800000000e-09 -1.698601360815e-01 
 1.212800000000e-09 -2.078541800191e-01 
 1.222800000000e-09 -2.170789933466e-01 
 1.232800000000e-09 -1.960252832658e-01 
 1.242800000000e-09 -1.475158645161e-01 
 1.252800000000e-09 -7.770660637571e-02 
 1.262800000000e-09  4.813750431414e-03 
 1.272800000000e-09  8.942421520795e-02 
 1.282800000000e-09  1.640950697971e-01 
 1.292800000000e-09  2.172464363561e-01 
 1.302800000000e-09  2.403646760220e-01 
 1.312800000000e-09  2.298649634096e-01 
 1.322800000000e-09  1.873400384301e-01 
 1.332800000000e-09  1.184899581387e-01 
 1.342800000000e-09  3.180442372437e-02 
 1.352800000000e-09 -6.199817364434e-02 
 1.362800000000e-09 -1.501538768724e-01 
 1.372800000000e-09 -2.192612529043e-01 
 1.382800000000e-09 -2.582083760269e-01 
 1.392800000000e-09 -2.608884066803e-01 
