"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
-1e+11;0.00306896;-6.80906e-05;0.00079303
-5e+10;0.00306896;-0.00682008;-0.00470217
0;0.00306896;6.71615e-16;0
5e+10;0.00306896;-0.00682008;0.00470217
1e+11;0.00306896;-6.80906e-05;-0.00079303
1.5e+11;0.00306896;-0.000356164;-0.000207563
-1.5e+11;0.0032069;-0.000428146;0.000235922
-1e+11;0.0032069;-0.000113857;0.000941509
-5e+10;0.0032069;-0.00697684;-0.00491659
0;0.0032069;1.20175e-15;0
5e+10;0.0032069;-0.00697684;0.00491659
1e+11;0.0032069;-0.000113857;-0.000941509
1.5e+11;0.0032069;-0.000428146;-0.000235922
-1.5e+11;0.00334483;-0.00048311;0.000239146
-1e+11;0.00334483;-0.000187757;0.00108233
-5e+10;0.00334483;-0.00711023;-0.00510488
0;0.00334483;3.1088e-15;0
5e+10;0.00334483;-0.00711023;0.00510488
1e+11;0.00334483;-0.000187757;-0.00108233
1.5e+11;0.00334483;-0.00048311;-0.000239146
-1.5e+11;0.00348276;-0.000521944;0.00022117
-1e+11;0.00348276;-0.000283355;0.00121571
-5e+10;0.00348276;-0.00722372;-0.00527261
0;0.00348276;-4.02868e-15;0
5e+10;0.00348276;-0.00722372;0.00527261
1e+11;0.00348276;-0.000283355;-0.00121571
1.5e+11;0.00348276;-0.000521944;-0.00022117
-1.5e+11;0.00362069;-0.000547699;0.00019003
-1e+11;0.00362069;-0.000389162;0.00134516
-5e+10;0.00362069;-0.00732024;-0.00543161
0;0.00362069;-1.74408e-14;0
5e+10;0.00362069;-0.00732024;0.00543161
1e+11;0.00362069;-0.000389162;-0.00134516
1.5e+11;0.00362069;-0.000547699;-0.00019003
-1.5e+11;0.00375862;-0.000560717;0.000150225
-1e+11;0.00375862;-0.000497156;0.00147245
-5e+10;0.00375862;-0.0074002;-0.00558943
0;0.00375862;3.94805e-14;0
5e+10;0.00375862;-0.0074002;0.00558943
1e+11;0.00375862;-0.000497156;-0.00147245
1.5e+11;0.00375862;-0.000560717;-0.000150225
-1.5e+11;0.00389655;-0.000561633;0.000104308
-1e+11;0.00389655;-0.000603328;0.00159827
-5e+10;0.00389655;-0.00746473;-0.00574937
0;0.00389655;3.31062e-13;0
5e+10;0.00389655;-0.00746473;0.00574937
1e+11;0.00389655;-0.000603328;-0.00159827
1.5e+11;0.00389655;-0.000561633;-0.000104308
-1.5e+11;0.00403448;-0.000552744;5.41813e-05
-1e+11;0.00403448;-0.000706879;0.00172293
-5e+10;0.00403448;-0.00751694;-0.00591179
0;0.00403448;-2.53259e-14;0
5e+10;0.00403448;-0.00751694;0.00591179
1e+11;0.00403448;-0.000706879;-0.00172293
1.5e+11;0.00403448;-0.000552744;-5.41813e-05
-1.5e+11;0.00417241;-0.000536796;1.38592e-06
-1e+11;0.00417241;-0.000808198;0.00184653
-5e+10;0.00417241;-0.00756052;-0.00607589
0;0.00417241;4.11631e-13;0
5e+10;0.00417241;-0.00756052;0.00607589
1e+11;0.00417241;-0.000808198;-0.00184653
1.5e+11;0.00417241;-0.000536796;-1.38592e-06
-1.5e+11;0.00431034;-0.000516062;-5.27982e-05
-1e+11;0.00431034;-0.000907549;0.00196895
-5e+10;0.00431034;-0.00759881;-0.00624062
0;0.00431034;-7.25942e-12;0
5e+10;0.00431034;-0.00759881;0.00624062
1e+11;0.00431034;-0.000907549;-0.00196895
1.5e+11;0.00431034;-0.000516062;5.27982e-05
-1.5e+11;0.00444827;-0.000492179;-0.000107363
-1e+11;0.00444827;-0.00100494;0.00208998
-5e+10;0.00444827;-0.00763439;-0.00640502
0;0.00444827;-1.43087e-10;0
5e+10;0.00444827;-0.00763439;0.00640502
1e+11;0.00444827;-0.00100494;-0.00208998
1.5e+11;0.00444827;-0.000492179;0.000107363
-1.5e+11;0.00458621;-0.000466647;-0.000160859
-1e+11;0.00458621;-0.00109922;0.00220874
