"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
0;0.0032069;1.20143e-13;0
5e+10;0.0032069;-0.348842;0.245829
1e+11;0.0032069;-0.00569285;-0.0470755
1.5e+11;0.0032069;-0.0214073;-0.0117961
-1.5e+11;0.00334483;-0.0241555;0.0119573
-1e+11;0.00334483;-0.00938783;0.0541164
-5e+10;0.00334483;-0.355511;-0.255244
0;0.00334483;3.10815e-13;0
5e+10;0.00334483;-0.355511;0.255244
1e+11;0.00334483;-0.00938783;-0.0541164
1.5e+11;0.00334483;-0.0241555;-0.0119573
-1.5e+11;0.00348276;-0.0260972;0.0110585
-1e+11;0.00348276;-0.0141677;0.0607854
-5e+10;0.00348276;-0.361186;-0.26363
0;0.00348276;-4.02684e-13;0
5e+10;0.00348276;-0.361186;0.26363
1e+11;0.00348276;-0.0141677;-0.0607854
1.5e+11;0.00348276;-0.0260972;-0.0110585
-1.5e+11;0.00362069;-0.0273849;0.00950151
-1e+11;0.00362069;-0.0194581;0.0672578
-5e+10;0.00362069;-0.366012;-0.271581
0;0.00362069;-1.73969e-12;0
5e+10;0.00362069;-0.366012;0.271581
1e+11;0.00362069;-0.0194581;-0.0672578
1.5e+11;0.00362069;-0.0273849;-0.00950151
-1.5e+11;0.00375862;-0.0280359;0.00751126
-1e+11;0.00375862;-0.0248578;0.0736225
-5e+10;0.00375862;-0.37001;-0.279472
0;0.00375862;3.96812e-12;0
5e+10;0.00375862;-0.37001;0.279472
1e+11;0.00375862;-0.0248578;-0.0736225
1.5e+11;0.00375862;-0.0280359;-0.00751126
-1.5e+11;0.00389655;-0.0280817;0.00521538
-1e+11;0.00389655;-0.0301664;0.0799134
-5e+10;0.00389655;-0.373237;-0.287468
0;0.00389655;3.31058e-11;0
5e+10;0.00389655;-0.373237;0.287468
1e+11;0.00389655;-0.0301664;-0.0799134
1.5e+11;0.00389655;-0.0280817;-0.00521538
-1.5e+11;0.00403448;-0.0276372;0.00270907
-1e+11;0.00403448;-0.035344;0.0861463
-5e+10;0.00403448;-0.375847;-0.29559
