        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            Re{V[4][1]} (V),            Im{V[4][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            Re{V[4][2]} (V),            Im{V[4][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V),            Re{V[4][3]} (V),            Im{V[4][3]} (V),            V_inc[4][4] (V),            Re{V[1][4]} (V),            Im{V[1][4]} (V),            Re{V[2][4]} (V),            Im{V[2][4]} (V),            Re{V[3][4]} (V),            Im{V[3][4]} (V),            Re{V[4][4]} (V),            Im{V[4][4]} (V)
 5.10000000e+01,        +7.071067811865e+00,        +7.094671336173e+00,        -6.360828165916e-02,        +2.233423429510e-02,        +5.190414008678e-02,        +6.958773031597e+00,        -8.517128129623e-01,        -6.668940806091e-03,        +1.880331578426e-02,        +7.071067811865e+00,        +2.233423429512e-02,        +5.190414008667e-02,        +7.096575545881e+00,        -5.834112640971e-02,        -6.731263269727e-03,        +1.882363116835e-02,        +6.960128999720e+00,        -8.438931553605e-01,        +7.071067811865e+00,        +6.958773031597e+00,        -8.517128129623e-01,        -6.731263269760e-03,        +1.882363116848e-02,        +7.139345495455e+00,        -7.060121422206e-02,        +1.165495593979e-02,        +5.632347033906e-02,        +7.071067811865e+00,        -6.668940806123e-03,        +1.880331578425e-02,        +6.960128999720e+00,        -8.438931553605e-01,        +1.165495593977e-02,        +5.632347033905e-02,        +7.137874720364e+00,        -6.457008258802e-02
 5.60000000e+01,        +7.071067811865e+00,        +7.089499958818e+00,        -7.059909771277e-02,        +2.485317699173e-02,        +5.639397312950e-02,        +6.946937788365e+00,        -9.331962748293e-01,        -6.188758112898e-03,        +2.089424465995e-02,        +7.071067811865e+00,        +2.485317699159e-02,        +5.639397312951e-02,        +7.091873340585e+00,        -6.486380060197e-02,        -6.263030091159e-03,        +2.092023612841e-02,        +6.948524618444e+00,        -9.246401078374e-01,        +7.071067811865e+00,        +6.946937788365e+00,        -9.331962748293e-01,        -6.263030091026e-03,        +2.092023612839e-02,        +7.143197555721e+00,        -7.957001704350e-02,        +1.208816855540e-02,        +6.161597923249e-02,        +7.071067811865e+00,        -6.188758113001e-03,        +2.089424465993e-02,        +6.948524618444e+00,        -9.246401078374e-01,        +1.208816855531e-02,        +6.161597923248e-02,        +7.141523300100e+00,        -7.288438806164e-02
 6.10000000e+01,        +7.071067811865e+00,        +7.083675664661e+00,        -7.741261807687e-02,        +2.756461724397e-02,        +6.080058582545e-02,        +6.934193454302e+00,        -1.014534313784e+00,        -5.631242418998e-03,        +2.297860411064e-02,        +7.071067811865e+00,        +2.756461724395e-02,        +6.080058582540e-02,        +7.086562252835e+00,        -7.122747344045e-02,        -5.718325477065e-03,        +2.301126652084e-02,        +6.936030192630e+00,        -1.005245228704e+00,        +7.071067811865e+00,        +6.934193454302e+00,        -1.014534313784e+00,        -5.718325477067e-03,        +2.301126652088e-02,        +7.147189173082e+00,        -8.871489982120e-02,        +1.253648062225e-02,        +6.691675658214e-02,        +7.071067811865e+00,        -5.631242419075e-03,        +2.297860411063e-02,        +6.936030192630e+00,        -1.005245228704e+00,        +1.253648062220e-02,        +6.691675658214e-02,        +7.145297741451e+00,        -8.136389462439e-02
 6.60000000e+01,        +7.071067811865e+00,        +7.077217470676e+00,        -8.402789133054e-02,        +3.046886536945e-02,        +6.511644261848e-02,        +6.920526927136e+00,        -1.095718515221e+00,        -4.998601638005e-03,        +2.505599687574e-02,        +7.071067811865e+00,        +3.046886536950e-02,        +6.511644261851e-02,        +7.080660666262e+00,        -7.741286441244e-02,        -5.099281603622e-03,        +2.509638911710e-02,        +6.922632780380e+00,        -1.085700240338e+00,        +7.071067811865e+00,        +6.920526927136e+00,        -1.095718515221e+00,        -5.099281603692e-03,        +2.509638911706e-02,        +7.151327388525e+00,        -9.804267812085e-02,        +1.300293003727e-02,        +7.222562719737e-02,        +7.071067811865e+00,        -4.998601638027e-03,        +2.505599687573e-02,        +6.922632780380e+00,        -1.085700240338e+00,        +1.300293003726e-02,        +7.222562719737e-02,        +7.149205436971e+00,        -9.001479650300e-02
 7.10000000e+01,        +7.071067811865e+00,        +7.070141169806e+00,        -9.042491210208e-02,        +3.356527109639e-02,        +6.933420103206e-02,        +6.905928730804e+00,        -1.176739941272e+00,        -4.292276036063e-03,        +2.712588861856e-02,        +7.071067811865e+00,        +3.356527109641e-02,        +6.933420103209e-02,        +7.074183704217e+00,        -8.340164128792e-02,        -4.407263470591e-03,        +2.717512869076e-02,        +6.908323067296e+00,        -1.165996352839e+00,        +7.071067811865e+00,        +6.905928730804e+00,        -1.176739941272e+00,        -4.407263470620e-03,        +2.717512869073e-02,        +7.155615604187e+00,        -1.075608098390e-01,        +1.348987149993e-02,        +7.754253605678e-02,        +7.071067811865e+00,        -4.292276036078e-03,        +2.712588861857e-02,        +6.908323067296e+00,        -1.165996352839e+00,        +1.348987149992e-02,        +7.754253605679e-02,        +7.153250173331e+00,        -9.884395298734e-02
 7.60000000e+01,        +7.071067811865e+00,        +7.062460559507e+00,        -9.658419370352e-02,        +3.685250060564e-02,        +7.344668992254e-02,        +6.890391787734e+00,        -1.257589411554e+00,        -3.513202379873e-03,        +2.918761707019e-02,        +7.071067811865e+00,        +3.685250060551e-02,        +7.344668992255e-02,        +7.067144448851e+00,        -8.917598377345e-02,        -3.643132104293e-03,        +2.924687806298e-02,        +6.893094146595e+00,        -1.246124549807e+00,        +7.071067811865e+00,        +6.890391787734e+00,        -1.257589411554e+00,        -3.643132104170e-03,        +2.924687806297e-02,        +7.160054729734e+00,        -1.172770088107e-01,        +1.399922312272e-02,        +8.286752071047e-02,        +7.071067811865e+00,        -3.513202379942e-03,        +2.918761707017e-02,        +6.893094146595e+00,        -1.246124549807e+00,        +1.399922312266e-02,        +8.286752071044e-02,        +7.157433267432e+00,        -1.078584953732e-01
 8.10000000e+01,        +7.071067811865e+00,        +7.054188230031e+00,        -1.024866006800e-01,        +4.032870009035e-02,        +7.744687828294e-02,        +6.873910642635e+00,        -1.338257582499e+00,        -2.661971597253e-03,        +3.124041376110e-02,        +7.071067811865e+00,        +4.032870009035e-02,        +7.744687828292e-02,        +7.059554725211e+00,        -9.471840902708e-02,        -2.807401491698e-03,        +3.131092023461e-02,        +6.876940745553e+00,        -1.326075672141e+00,        +7.071067811865e+00,        +6.873910642635e+00,        -1.338257582499e+00,        -2.807401491728e-03,        +3.131092023461e-02,        +7.164643905396e+00,        -1.271990896713e-01,        +1.453261300357e-02,        +8.820067891317e-02,        +7.071067811865e+00,        -2.661971597254e-03,        +3.124041376111e-02,        +6.876940745553e+00,        -1.326075672141e+00,        +1.453261300359e-02,        +8.820067891319e-02,        +7.161754285176e+00,        -1.170656667873e-01
 8.60000000e+01,        +7.071067811865e+00,        +7.045336070068e+00,        -1.081132919898e-01,        +4.399159348235e-02,        +8.132784949779e-02,        +6.856480972395e+00,        -1.418734951218e+00,        -1.738924805302e-03,        +3.328342311336e-02,        +7.071067811865e+00,        +4.399159348237e-02,        +8.132784949784e-02,        +7.051425605451e+00,        -1.000117096151e-01,        -1.900334101475e-03,        +3.336644757874e-02,        +6.859858735308e+00,        -1.405840425255e+00,        +7.071067811865e+00,        +6.856480972395e+00,        -1.418734951218e+00,        -1.900334101487e-03,        +3.336644757870e-02,        +7.169380957448e+00,        -1.373349062280e-01,        +1.509146810259e-02,        +9.354214255259e-02,        +7.071067811865e+00,        -1.738924805360e-03,        +3.328342311346e-02,        +6.859858735308e+00,        -1.405840425255e+00,        +1.509146810253e-02,        +9.354214255271e-02,        +7.166211495790e+00,        -1.264727573759e-01
 9.10000000e+01,        +7.071067811865e+00,        +7.035915593965e+00,        -1.134457074572e-01,        +4.783854227797e-02,        +8.508278424684e-02,        +6.838099274520e+00,        -1.499011837722e+00,        -7.442139065306e-04,        +3.531571519317e-02,        +7.071067811865e+00,        +4.783854227804e-02,        +8.508278424682e-02,        +7.042767736064e+00,        -1.050389361849e-01,        -9.220011632657e-04,        +3.541257451986e-02,        +6.841844817862e+00,        -1.485409363555e+00,        +7.071067811865e+00,        +6.838099274520e+00,        -1.499011837722e+00,        -9.220011633441e-04,        +3.541257451990e-02,        +7.174262687970e+00,        -1.476923230929e-01,        +1.567706999208e-02,        +9.889205960037e-02,        +7.071067811865e+00,        -7.442139065442e-04,        +3.531571519313e-02,        +6.841844817862e+00,        -1.485409363555e+00,        +1.567706999207e-02,        +9.889205960033e-02,        +7.170802161933e+00,        -1.360870743437e-01
 9.60000000e+01,        +7.071067811865e+00,        +7.025938157026e+00,        -1.184655686032e-01,        +5.186658356632e-02,        +8.870495112054e-02,        +6.818762666331e+00,        -1.579078366289e+00,        +3.221581797891e-04,        +3.733629254756e-02,        +7.071067811865e+00,        +5.186658356631e-02,        +8.870495112052e-02,        +7.033591553828e+00,        -1.097833955797e-01,        +1.276772514061e-04,        +3.744834420814e-02,        +6.822896323242e+00,        -1.564772873187e+00,        +7.071067811865e+00,        +6.818762666331e+00,        -1.579078366289e+00,        +1.276772513910e-04,        +3.744834420817e-02,        +7.179285063025e+00,        -1.582791961214e-01,        +1.629059153293e-02,        +1.042505827268e-01,        +7.071067811865e+00,        +3.221581797826e-04,        +3.733629254755e-02,        +6.822896323242e+00,        -1.564772873187e+00,        +1.629059153294e-02,        +1.042505827268e-01,        +7.175522728778e+00,        -1.459159219963e-01
