        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            Re{V[4][1]} (V),            Im{V[4][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            Re{V[4][2]} (V),            Im{V[4][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V),            Re{V[4][3]} (V),            Im{V[4][3]} (V),            V_inc[4][4] (V),            Re{V[1][4]} (V),            Im{V[1][4]} (V),            Re{V[2][4]} (V),            Im{V[2][4]} (V),            Re{V[3][4]} (V),            Im{V[3][4]} (V),            Re{V[4][4]} (V),            Im{V[4][4]} (V)
 1.01000000e+02,        +7.071067811865e+00,        +7.015415100496e+00,        -1.231548825303e-01,        +5.607245542144e-02,        +9.218770296129e-02,        +6.798468753008e+00,        -1.658924452330e+00,        +1.460309076179e-03,        +3.934409266256e-02,        +7.071067811865e+00,        +5.607245542145e-02,        +9.218770296131e-02,        +7.023907431720e+00,        -1.142286527556e-01,        +1.248903804726e-03,        +3.947273078095e-02,        +6.803011075328e+00,        -1.643921159622e+00,        +7.071067811865e+00,        +6.798468753008e+00,        -1.658924452330e+00,        +1.248903804697e-03,        +3.947273078093e-02,        +7.184443338668e+00,        -1.691033530725e-01,        +1.693312243615e-02,        +1.096178625898e-01,        +7.071067811865e+00,        +1.460309076187e-03,        +3.934409266252e-02,        +6.803011075328e+00,        -1.643921159622e+00,        +1.693312243616e-02,        +1.096178625898e-01,        +7.180368951023e+00,        -1.559665828398e-01
 1.06000000e+02,        +7.071067811865e+00,        +7.004357852015e+00,        -1.274959452111e-01,        +6.045261480580e-02,        +9.552447705073e-02,        +6.777215538814e+00,        -1.738539795331e+00,        +2.670455440155e-03,        +4.133798757089e-02,        +7.071067811865e+00,        +6.045261480584e-02,        +9.552447705073e-02,        +7.013725780342e+00,        -1.183585326119e-01,        +2.441982292722e-03,        +4.148463878408e-02,        +6.782187300903e+00,        -1.722844240862e+00,        +7.071067811865e+00,        +6.777215538814e+00,        -1.738539795331e+00,        +2.441982292675e-03,        +4.148463878409e-02,        +7.189732148720e+00,        -1.801725724669e-01,        +1.760568818431e-02,        +1.149940440323e-01,        +7.071067811865e+00,        +2.670455440226e-03,        +4.133798757090e-02,        +6.782187300903e+00,        -1.722844240862e+00,        +1.760568818439e-02,        +1.149940440323e-01,        +7.185335981514e+00,        -1.662462974077e-01
 1.11000000e+02,        +7.071067811865e+00,        +6.992777997467e+00,        -1.314713436310e-01,        +6.500325084651e-02,        +9.870879771977e-02,        +6.755001365913e+00,        -1.817913876529e+00,        +3.952895631166e-03,        +4.331678179617e-02,        +7.071067811865e+00,        +6.500325084653e-02,        +9.870879771978e-02,        +7.003057120709e+00,        -1.221571210208e-01,        +3.707300140166e-03,        +4.348290097244e-02,        +6.760423566422e+00,        -1.801531945069e+00,        +7.071067811865e+00,        +6.755001365913e+00,        -1.817913876529e+00,        +3.707300140128e-03,        +4.348290097242e-02,        +7.195145568683e+00,        -1.914945609763e-01,        +1.830926481249e-02,        +1.203792638555e-01,        +7.071067811865e+00,        +3.952895631179e-03,        +4.331678179619e-02,        +6.760423566422e+00,        -1.801531945069e+00,        +1.830926481251e-02,        +1.203792638556e-01,        +7.190418435751e+00,        -1.767622429157e-01
 1.16000000e+02,        +7.071067811865e+00,        +6.980687334069e+00,        -1.350639573150e-01,        +6.972029507411e-02,        +1.017342804501e-01,        +6.731824871324e+00,        -1.897035959673e+00,        +5.307994945580e-03,        +4.527920946288e-02,        +7.071067811865e+00,        +6.972029507406e-02,        +1.017342804501e-01,        +6.991912138163e+00,        -1.256087654698e-01,        +5.045313417300e-03,        +4.546627534573e-02,        +6.737718733091e+00,        -1.879973911081e+00,        +7.071067811865e+00,        +6.731824871324e+00,        -1.897035959673e+00,        +5.045313417347e-03,        +4.546627534571e-02,        +7.200677164434e+00,        -2.030769302428e-01,        +1.904479092854e-02,        +1.257736492444e-01,        +7.071067811865e+00,        +5.307994945615e-03,        +4.527920946285e-02,        +6.737718733091e+00,        -1.879973911081e+00,        +1.904479092859e-02,        +1.257736492443e-01,        +7.195610440893e+00,        -1.875215114625e-01
 1.21000000e+02,        +7.071067811865e+00,        +6.968097910810e+00,        -1.382569600108e-01,        +7.459942954612e-02,        +1.045946369504e-01,        +6.707684956247e+00,        -1.975895093530e+00,        +6.736172442281e-03,        +4.722393113812e-02,        +7.071067811865e+00,        +7.459942954612e-02,        +1.045946369505e-01,        +6.980301723496e+00,        -1.286980760092e-01,        +6.456533445873e-03,        +4.743344200277e-02,        +6.714071924518e+00,        -1.958159590571e+00,        +7.071067811865e+00,        +6.707684956247e+00,        -1.975895093530e+00,        +6.456533445869e-03,        +4.743344200270e-02,        +7.206320030927e+00,        -2.149271739425e-01,        +1.981317770847e-02,        +1.311773162424e-01,        +7.071067811865e+00,        +6.736172442324e-03,        +4.722393113812e-02,        +6.714071924518e+00,        -1.958159590571e+00,        +1.981317770851e-02,        +1.311773162424e-01,        +7.200905674531e+00,        -1.985310884504e-01
 1.26000000e+02,        +7.071067811865e+00,        +6.955022059997e+00,        -1.410338222315e-01,        +7.963609347590e-02,        +1.072836809879e-01,        +6.682580764223e+00,        -2.054480115243e+00,        +8.237888736394e-03,        +4.914953082521e-02,        +7.071067811865e+00,        +7.963609347590e-02,        +1.072836809879e-01,        +6.968237005005e+00,        -1.314099271315e-01,        +7.941514424930e-03,        +4.938300023022e-02,        +6.689482503398e+00,        -2.036078251044e+00,        +7.071067811865e+00,        +6.682580764223e+00,        -2.054480115243e+00,        +7.941514424921e-03,        +4.938300023029e-02,        +7.212066824159e+00,        -2.270526456439e-01,        +2.061531722165e-02,        +1.365903679297e-01,        +7.071067811865e+00,        +8.237888736464e-03,        +4.914953082518e-02,        +6.689482503398e+00,        -2.036078251044e+00,        +2.061531722172e-02,        +1.365903679297e-01,        +7.206297396537e+00,        -2.097978316816e-01
 1.31000000e+02,        +7.071067811865e+00,        +6.941472422177e+00,        -1.433783151713e-01,        +8.482548890188e-02,        +1.097953349060e-01,        +6.656511665873e+00,        -2.132779654100e+00,        +9.813634382845e-03,        +5.105451347594e-02,        +7.071067811865e+00,        +8.482548890191e-02,        +1.097953349060e-01,        +6.955729373697e+00,        -1.337294610037e-01,        +9.500841755297e-03,        +5.131346616168e-02,        +6.663950054948e+00,        -2.113718979292e+00,        +7.071067811865e+00,        +6.656511665873e+00,        -2.132779654100e+00,        +9.500841755269e-03,        +5.131346616172e-02,        +7.217909788460e+00,        -2.394605377911e-01,        +2.145208921444e-02,        +1.420128921640e-01,        +7.071067811865e+00,        +9.813634382859e-03,        +5.105451347591e-02,        +6.663950054948e+00,        -2.113718979292e+00,        +2.145208921445e-02,        +1.420128921640e-01,        +7.211778476178e+00,        -2.213284514084e-01
 1.36000000e+02,        +7.071067811865e+00,        +6.927461965724e+00,        -1.452745162430e-01,        +9.016258594009e-02,        +1.121236367560e-01,        +6.629477248670e+00,        -2.210782135584e+00,        +1.146391870186e-02,        +5.293730336880e-02,        +7.071067811865e+00,        +9.016258594006e-02,        +1.121236367560e-01,        +6.942790502963e+00,        -1.356420921942e-01,        +1.113512094978e-02,        +5.322327128340e-02,        +6.637474375474e+00,        -2.191070685270e+00,        +7.071067811865e+00,        +6.629477248670e+00,        -2.210782135584e+00,        +1.113512094980e-02,        +5.322327128344e-02,        +7.223840780526e+00,        -2.521578620127e-01,        +2.232436637440e-02,        +1.474449589416e-01,        +7.071067811865e+00,        +1.146391870184e-02,        +5.293730336881e-02,        +6.637474375474e+00,        -2.191070685270e+00,        +2.232436637440e-02,        +1.474449589416e-01,        +7.217341416007e+00,        -2.331294915545e-01
 1.41000000e+02,        +7.071067811865e+00,        +6.913004001801e+00,        -1.467068161596e-01,        +9.564212814133e-02,        +1.142627478219e-01,        +6.601477310507e+00,        -2.288475785745e+00,        +1.318925914199e-02,        +5.479624363366e-02,        +7.071067811865e+00,        +9.564212814142e-02,        +1.142627478218e-01,        +6.929432363460e+00,        -1.371335136960e-01,        +1.284496722044e-02,        +5.511076197847e-02,        +6.610055464763e+00,        -2.268122106471e+00,        +7.071067811865e+00,        +6.601477310507e+00,        -2.288475785745e+00,        +1.284496722035e-02,        +5.511076197849e-02,        +7.229851291095e+00,        -2.651514309121e-01,        +2.323301810422e-02,        +1.528866176026e-01,        +7.071067811865e+00,        +1.318925914200e-02,        +5.479624363371e-02,        +6.610055464763e+00,        -2.268122106471e+00,        +2.323301810424e-02,        +1.528866176027e-01,        +7.222978373547e+00,        -2.452073123482e-01
 1.46000000e+02,        +7.071067811865e+00,        +6.898112195155e+00,        -1.476599271527e-01,        +1.012586383228e-01,        +1.162069601102e-01,        +6.572511856013e+00,        -2.365848635960e+00,        +1.499017148651e-02,        +5.662959702583e-02,        +7.071067811865e+00,        +1.012586383228e-01,        +1.162069601102e-01,        +6.915667233803e+00,        -1.381897037508e-01,        +1.463099597940e-02,        +5.697420012311e-02,        +6.581693521123e+00,        -2.344861812844e+00,        +7.071067811865e+00,        +6.572511856013e+00,        -2.365848635960e+00,        +1.463099597940e-02,        +5.697420012314e-02,        +7.235932464846e+00,        -2.784478414647e-01,        +2.417891294814e-02,        +1.583378942025e-01,        +7.071067811865e+00,        +1.499017148649e-02,        +5.662959702589e-02,        +6.581693521123e+00,        -2.344861812844e+00,        +2.417891294812e-02,        +1.583378942026e-01,        +7.228681181366e+00,        -2.575680746332e-01
 1.51000000e+02,        +7.071067811865e+00,        +6.882800571259e+00,        -1.481188916975e-01,        +1.070064249345e-01,        +1.179507032553e-01,        +6.542581094724e+00,        -2.442888527959e+00,        +1.686716128719e-02,        +5.843554777169e-02,        +7.071067811865e+00,        +1.070064249344e-01,        +1.179507032553e-01,        +6.901507707742e+00,        -1.387969328356e-01,        +1.649381452213e-02,        +5.881176452199e-02,        +6.552388938061e+00,        -2.421278212058e+00,        +7.071067811865e+00,        +6.542581094724e+00,        -2.442888527959e+00,        +1.649381452222e-02,        +5.881176452198e-02,        +7.242075118781e+00,        -2.920534600821e-01,        +2.516291998054e-02,        +1.637987893498e-01,        +7.071067811865e+00,        +1.686716128716e-02,        +5.843554777168e-02,        +6.552388938061e+00,        -2.421278212058e+00,        +2.516291998053e-02,        +1.637987893497e-01,        +7.234441365737e+00,        -2.702177260601e-01
 1.56000000e+02,        +7.071067811865e+00,        +6.867083520539e+00,        -1.480690911230e-01,        +1.128795886534e-01,        +1.194885503764e-01,        +6.511685440434e+00,        -2.519583118861e+00,        +1.882071678368e-02,        +6.021220402519e-02,        +7.071067811865e+00,        +1.128795886534e-01,        +1.194885503764e-01,        +6.886966698713e+00,        -1.389417702808e-01,        +1.843401501776e-02,        +6.062155276384e-02,        +6.522142301908e+00,        -2.497359554725e+00,        +7.071067811865e+00,        +6.511685440434e+00,        -2.519583118861e+00,        +1.843401501774e-02,        +6.062155276389e-02,        +7.248269759163e+00,        -3.059744092571e-01,        +2.618590959098e-02,        +1.692692766475e-01,        +7.071067811865e+00,        +1.882071678367e-02,        +6.021220402516e-02,        +6.522142301908e+00,        -2.497359554725e+00,        +2.618590959100e-02,        +1.692692766474e-01,        +7.240250163809e+00,        -2.831619891504e-01
 1.61000000e+02,        +7.071067811865e+00,        +6.850975800600e+00,        -1.474962537555e-01,        +1.188720286479e-01,        +1.208152227357e-01,        +6.479825511406e+00,        -2.595919885851e+00,        +2.085130326889e-02,        +6.195760034114e-02,        +7.071067811865e+00,        +1.188720286479e-01,        +1.208152227357e-01,        +6.872057442763e+00,        -1.386110903366e-01,        +2.045216868584e-02,        +6.240158302094e-02,        +6.490954390104e+00,        -2.573093939070e+00,        +7.071067811865e+00,        +6.479825511406e+00,        -2.595919885851e+00,        +2.045216868582e-02,        +6.240158302094e-02,        +7.254506597007e+00,        -3.202165555378e-01,        +2.724875409247e-02,        +1.747493016479e-01,        +7.071067811865e+00,        +2.085130326890e-02,        +6.195760034121e-02,        +6.490954390104e+00,        -2.573093939070e+00,        +2.724875409248e-02,        +1.747493016480e-01,        +7.246098539099e+00,        -2.964063509488e-01
 1.66000000e+02,        +7.071067811865e+00,        +6.834492537325e+00,        -1.463864626377e-01,        +1.249774479678e-01,        +1.219255934463e-01,        +6.447002131423e+00,        -2.671886130237e+00,        +2.295935853911e-02,        +6.366969967119e-02,        +7.071067811865e+00,        +1.249774479678e-01,        +1.219255934463e-01,        +6.856793500694e+00,        -1.377920779063e-01,        +2.254882080001e-02,        +6.414979543915e-02,        +6.458826170249e+00,        -2.648469314717e+00,        +7.071067811865e+00,        +6.447002131423e+00,        -2.671886130237e+00,        +2.254882080000e-02,        +6.414979543917e-02,        +7.260775562211e+00,        -3.347854984541e-01,        +2.835232842282e-02,        +1.802387810429e-01,        +7.071067811865e+00,        +2.295935853914e-02,        +6.366969967122e-02,        +6.458826170249e+00,        -2.648469314717e+00,        +2.835232842286e-02,        +1.802387810429e-01,        +7.251977195281e+00,        -3.099560537524e-01
 1.71000000e+02,        +7.071067811865e+00,        +6.817649225459e+00,        -1.447261631916e-01,        +1.311893577736e-01,        +1.228146907618e-01,        +6.413216331859e+00,        -2.747468980827e+00,        +2.514528888899e-02,        +6.534639467165e-02,        +7.071067811865e+00,        +1.311893577736e-01,        +1.228146907618e-01,        +6.841188759902e+00,        -1.364722344285e-01,        +2.472448605707e-02,        +6.586405301995e-02,        +6.425758800195e+00,        -2.723473485539e+00,        +7.071067811865e+00,        +6.413216331859e+00,        -2.747468980827e+00,        +2.472448605708e-02,        +6.586405302000e-02,        +7.267066316538e+00,        -3.496865600187e-01,        +2.949751098030e-02,        +1.857376017696e-01,        +7.071067811865e+00,        +2.514528888898e-02,        +6.534639467166e-02,        +6.425758800195e+00,        -2.723473485539e+00,        +2.949751098029e-02,        +1.857376017696e-01,        +7.257876588461e+00,        -3.238160863692e-01
 1.76000000e+02,        +7.071067811865e+00,        +6.800461728904e+00,        -1.425021712915e-01,        +1.375010804689e-01,        +1.234777015200e-01,        +6.378469354915e+00,        -2.822655396812e+00,        +2.740946514971e-02,        +6.698550842304e-02,        +7.071067811865e+00,        +1.375010804689e-01,        +1.234777015200e-01,        +6.825257436014e+00,        -1.346393843982e-01,        +2.697964392797e-02,        +6.754214213166e-02,        +6.391753629468e+00,        -2.798094111806e+00,        +7.071067811865e+00,        +6.378469354915e+00,        -2.822655396812e+00,        +2.697964392796e-02,        +6.754214213172e-02,        +7.273368265779e+00,        -3.649247745277e-01,        +3.068518444705e-02,        +1.912456198058e-01,        +7.071067811865e+00,        +2.740946514969e-02,        +6.698550842300e-02,        +6.391753629468e+00,        -2.798094111806e+00,        +3.068518444705e-02,        +1.912456198058e-01,        +7.263786938340e+00,        -3.379911754872e-01
 1.81000000e+02,        +7.071067811865e+00,        +6.782946280638e+00,        -1.397016821041e-01,        +1.439057520677e-01,        +1.239099751466e-01,        +6.342762658095e+00,        -2.897432170477e+00,        +2.975221846406e-02,        +6.858479485844e-02,        +7.071067811865e+00,        +1.439057520676e-01,        +1.239099751465e-01,        +6.809014074094e+00,        -1.322816828225e-01,        +2.931473378718e-02,        +6.918177291995e-02,        +6.356812202064e+00,        -2.872318712064e+00,        +7.071067811865e+00,        +6.342762658095e+00,        -2.897432170477e+00,        +2.931473378721e-02,        +6.918177291999e-02,        +7.279670571433e+00,        -3.805048785404e-01,        +3.191623638141e-02,        +1.967626585953e-01,        +7.071067811865e+00,        +2.975221846402e-02,        +6.858479485841e-02,        +6.356812202064e+00,        -2.872318712064e+00,        +3.191623638140e-02,        +1.967626585952e-01,        +7.269698238733e+00,        -3.524857769721e-01
 1.86000000e+02,        +7.071067811865e+00,        +6.765119482003e+00,        -1.363122798265e-01,        +1.503963242169e-01,        +1.241070283713e-01,        +6.306097919776e+00,        -2.971785930034e+00,        +3.217383572140e-02,        +7.014193923284e-02,        +7.071067811865e+00,        +1.503963242169e-01,        +1.241070283713e-01,        +6.792473549158e+00,        -1.293876236548e-01,        +3.173014980388e-02,        +7.078057988215e-02,        +6.320936260495e+00,        -2.946134665108e+00,        +7.071067811865e+00,        +6.306097919776e+00,        -2.971785930034e+00,        +3.173014980390e-02,        +7.078057988215e-02,        +7.285962162198e+00,        -3.964313010445e-01,        +3.319155939649e-02,        +2.022885071831e-01,        +7.071067811865e+00,        +3.217383572135e-02,        +7.014193923281e-02,        +6.320936260495e+00,        -2.946134665108e+00,        +3.319155939645e-02,        +2.022885071830e-01,        +7.275600267858e+00,        -3.673040671116e-01
 1.91000000e+02,        +7.071067811865e+00,        +6.746998301141e+00,        -1.323219482552e-01,        +1.569655662373e-01,        +1.240645505985e-01,        +6.268477045681e+00,        -3.045703142848e+00,        +3.467455474139e-02,        +7.165455888287e-02,        +7.071067811865e+00,        +1.569655662373e-01,        +1.240645505985e-01,        +6.775651065746e+00,        -1.259460490557e-01,        +3.422623569505e-02,        +7.233612278441e-02,        +6.284127750834e+00,        -3.019529212361e+00,        +7.071067811865e+00,        +6.268477045681e+00,        -3.045703142848e+00,        +3.422623569504e-02,        +7.233612278441e-02,        +7.292231745455e+00,        -4.127081538823e-01,        +3.451205083440e-02,        +2.078229182157e-01,        +7.071067811865e+00,        +3.467455474136e-02,        +7.165455888285e-02,        +6.284127750834e+00,        -3.019529212361e+00,        +3.451205083438e-02,        +2.078229182157e-01,        +7.281482598645e+00,        -3.824499339387e-01
 1.96000000e+02,        +7.071067811865e+00,        +6.728600070430e+00,        -1.277190820008e-01,        +1.636060674133e-01,        +1.237784097606e-01,        +6.229902175995e+00,        -3.119170119168e+00,        +3.725455936490e-02,        +7.312020440427e-02,        +7.071067811865e+00,        +1.636060674133e-01,        +1.237784097607e-01,        +6.758562156460e+00,        -1.219461592422e-01,        +3.680327948146e-02,        +7.384588799578e-02,        +6.246388828437e+00,        -3.092489460780e+00,        +7.071067811865e+00,        +6.229902175995e+00,        -3.119170119168e+00,        +3.680327948144e-02,        +7.384588799576e-02,        +7.298467818845e+00,        -4.293392225251e-01,        +3.587861193640e-02,        +2.133656059608e-01,        +7.071067811865e+00,        +3.725455936492e-02,        +7.312020440429e-02,        +6.246388828437e+00,        -3.092489460780e+00,        +3.587861193643e-02,        +2.133656059608e-01,        +7.287334609202e+00,        -3.979269687900e-01
 2.01000000e+02,        +7.071067811865e+00,        +6.709942482874e+00,        -1.224924981323e-01,        +1.703102396371e-01,        +1.232446584645e-01,        +6.190375692912e+00,        -3.192173016411e+00,        +3.991397460637e-02,        +7.453636127008e-02,        +7.071067811865e+00,        +1.703102396371e-01,        +1.232446584645e-01,        +6.741222679480e+00,        -1.173775226904e-01,        +3.946150836802e-02,        +7.530729023276e-02,        +6.207721864111e+00,        -3.165002386320e+00,        +7.071067811865e+00,        +6.190375692912e+00,        -3.192173016411e+00,        +3.946150836802e-02,        +7.530729023279e-02,        +7.304658681969e+00,        -4.463279572620e-01,        +3.729214656790e-02,        +2.189162444651e-01,        +7.071067811865e+00,        +3.991397460634e-02,        +7.453636127013e-02,        +6.207721864111e+00,        -3.165002386320e+00,        +3.729214656787e-02,        +2.189162444651e-01,        +7.293145493467e+00,        -4.137384582208e-01
 2.06000000e+02,        +7.071067811865e+00,        +6.691043587493e+00,        -1.166314480620e-01,        +1.770703204204e-01,        +1.224595402673e-01,        +6.149900228426e+00,        -3.264697843984e+00,        +4.265286198059e-02,        +7.590045185021e-02,        +7.071067811865e+00,        +1.770703204204e-01,        +1.224595402672e-01,        +6.723648815128e+00,        -1.122300865058e-01,        +4.220108383020e-02,        +7.671767466738e-02,        +6.168129450508e+00,        -3.237054837927e+00,        +7.071067811865e+00,        +6.149900228426e+00,        -3.264697843984e+00,        +4.220108383016e-02,        +7.671767466741e-02,        +7.310792448232e+00,        -4.636774648399e-01,        +3.875355958056e-02,        +2.244744659238e-01,        +7.071067811865e+00,        +4.265286198055e-02,        +7.590045185018e-02,        +6.168129450508e+00,        -3.237054837927e+00,        +3.875355958054e-02,        +2.244744659238e-01,        +7.298904272028e+00,        -4.298873763516e-01
 2.11000000e+02,        +7.071067811865e+00,        +6.671921783795e+00,        -1.101256295278e-01,        +1.838783762422e-01,        +1.214194959723e-01,        +6.108478672259e+00,        -3.336730468620e+00,        +4.547121506992e-02,        +7.720983776859e-02,        +7.071067811865e+00,        +1.838783762422e-01,        +1.214194959723e-01,        +6.705857061607e+00,        -1.064941868346e-01,        +4.502209694892e-02,        +7.807431933790e-02,        +6.127614408641e+00,        -3.308633541997e+00,        +7.071067811865e+00,        +6.108478672259e+00,        -3.336730468620e+00,        +4.502209694894e-02,        +7.807431933791e-02,        +7.316857056802e+00,        -4.813905005660e-01,        +4.026375489232e-02,        +2.300398592927e-01,        +7.071067811865e+00,        +4.547121506991e-02,        +7.720983776861e-02,        +6.127614408641e+00,        -3.308633541997e+00,        +4.026375489231e-02,        +2.300398592927e-01,        +7.304599803089e+00,        -4.463763776749e-01
 2.16000000e+02,        +7.071067811865e+00,        +6.652595815409e+00,        -1.029651985752e-01,        +1.907263061856e-01,        +1.201211698773e-01,        +6.066114179817e+00,        -3.408256620178e+00,        +4.836895536169e-02,        +7.846182253443e-02,        +7.071067811865e+00,        +1.907263061857e-01,        +1.201211698773e-01,        +6.687864230005e+00,        -1.001605592396e-01,        +4.792456400939e-02,        +7.937443780894e-02,        +6.086179794412e+00,        -3.379725107249e+00,        +7.071067811865e+00,        +6.066114179817e+00,        -3.408256620178e+00,        +4.792456400936e-02,        +7.937443780892e-02,        +7.322840284711e+00,        -4.994694608718e-01,        +4.182363335221e-02,        +2.356119691494e-01,        +7.071067811865e+00,        +4.836895536169e-02,        +7.846182253443e-02,        +6.086179794412e+00,        -3.379725107249e+00,        +4.182363335222e-02,        +2.356119691494e-01,        +7.310220793547e+00,        -4.632077903241e-01
 2.21000000e+02,        +7.071067811865e+00,        +6.633084762970e+00,        -9.514078147722e-02,        +1.976058458205e-01,        +1.185614159381e-01,        +6.022810180135e+00,        -3.479261897887e+00,        +5.134592836233e-02,        +7.965365439526e-02,        +7.071067811865e+00,        +1.976058458205e-01,        +1.185614159381e-01,        +6.669687438670e+00,        -9.322034899848e-02,        +5.090842236108e-02,        +8.061518203949e-02,        +6.043828905128e+00,        -3.450316029964e+00,        +7.071067811865e+00,        +6.022810180135e+00,        -3.479261897887e+00,        +5.090842236110e-02,        +8.061518203950e-02,        +7.328729759071e+00,        -5.179163763291e-01,        +4.343409044047e-02,        +2.411902948007e-01,        +7.071067811865e+00,        +5.134592836227e-02,        +7.965365439530e-02,        +6.043828905128e+00,        -3.450316029964e+00,        +4.343409044040e-02,        +2.411902948007e-01,        +7.315755810167e+00,        -4.803836097942e-01
 2.26000000e+02,        +7.071067811865e+00,        +6.613408036333e+00,        -8.664348654850e-02,        +2.045085712962e-01,        +1.167373038303e-01,        +5.978570383752e+00,        -3.549731777013e+00,        +5.440189998431e-02,        +8.078252937326e-02,        +7.071067811865e+00,        +2.045085712962e-01,        +1.167373038303e-01,        +6.651344107012e+00,        -8.566512129984e-02,        +5.397352653531e-02,        +8.179364542962e-02,        +6.000565285941e+00,        -3.520392699575e+00,        +7.071067811865e+00,        +5.978570383752e+00,        -3.549731777013e+00,        +5.397352653532e-02,        +8.179364542962e-02,        +7.334512969438e+00,        -5.367329051130e-01,        +4.509601383977e-02,        +2.467742896215e-01,        +7.071067811865e+00,        +5.440189998432e-02,        +8.078252937328e-02,        +6.000565285941e+00,        -3.520392699575e+00,        +4.509601383978e-02,        +2.467742896215e-01,        +7.321193290864e+00,        -4.979054930981e-01
 2.31000000e+02,        +7.071067811865e+00,        +6.593585366147e+00,        -7.746491582705e-02,        +2.114259036225e-01,        +1.146461248993e-01,        +5.933398790480e+00,        -3.619651615926e+00,        +5.753655319909e-02,        +8.184559445802e-02,        +7.071067811865e+00,        +2.114259036225e-01,        +1.146461248993e-01,        +6.632851948809e+00,        -7.748687132128e-02,        +5.711964461133e-02,        +8.290686602580e-02,        +5.956392736203e+00,        -3.589941404566e+00,        +7.071067811865e+00,        +5.933398790480e+00,        -3.619651615926e+00,        +5.711964461133e-02,        +8.290686602578e-02,        +7.340177280316e+00,        -5.559203269055e-01,        +4.681028090285e-02,        +2.523633606200e-01,        +7.071067811865e+00,        +5.753655319909e-02,        +8.184559445799e-02,        +5.956392736203e+00,        -3.589941404566e+00,        +4.681028090286e-02,        +2.523633606199e-01,        +7.326521556076e+00,        -5.157747533472e-01
 2.36000000e+02,        +7.071067811865e+00,        +6.573636794863e+00,        -6.759717659731e-02,        +2.183491131185e-01,        +1.122853979912e-01,        +5.887299697039e+00,        -3.689006663571e+00,        +6.074948495072e-02,        +8.283995093682e-02,        +7.071067811865e+00,        +2.183491131185e-01,        +1.122853979912e-01,        +6.614228965040e+00,        -6.867803417834e-02,        +6.034645483041e-02,        +8.395182987204e-02,        +5.911315315705e+00,        -3.658948338694e+00,        +7.071067811865e+00,        +5.887299697039e+00,        -3.689006663571e+00,        +6.034645483041e-02,        +8.395182987199e-02,        +7.345709943817e+00,        -5.754795372422e-01,        +4.857775603509e-02,        +2.579568682185e-01,        +7.071067811865e+00,        +6.074948495076e-02,        +8.283995093684e-02,        +5.911315315705e+00,        -3.658948338694e+00,        +4.857775603513e-02,        +2.579568682185e-01,        +7.331728820242e+00,        -5.339923547494e-01
 2.41000000e+02,        +7.071067811865e+00,        +6.553582667196e+00,        -5.703289273345e-02,        +2.252693240202e-01,        +1.096528751566e-01,        +5.840277704502e+00,        -3.757782067326e+00,        +6.404020332799e-02,        +8.376265784829e-02,        +7.071067811865e+00,        +2.252693240202e-01,        +1.096528751566e-01,        +6.595493436289e+00,        -5.923149472984e-02,        +6.365354245752e-02,        +8.492547449467e-02,        +5.865337350761e+00,        -3.727399607507e+00,        +7.071067811865e+00,        +5.840277704502e+00,        -3.757782067326e+00,        +6.365354245748e-02,        +8.492547449469e-02,        +7.351098112481e+00,        -5.954110423072e-01,        +5.039928800553e-02,        +2.635541262478e-01,        +7.071067811865e+00,        +6.404020332798e-02,        +8.376265784836e-02,        +5.865337350761e+00,        -3.727399607507e+00,        +5.039928800552e-02,        +2.635541262479e-01,        +7.336803203400e+00,        -5.525589080226e-01
 2.46000000e+02,        +7.071067811865e+00,        +6.533443620064e+00,        -4.576521583965e-02,        +2.321775192324e-01,        +1.067465472167e-01,        +5.792337725547e+00,        -3.825962881246e+00,        +6.740812499697e-02,        +8.461073554740e-02,        +7.071067811865e+00,        +2.321775192324e-01,        +1.067465472167e-01,        +6.576663914749e+00,        -4.914059722562e-02,        +6.704039689587e-02,        +8.582469251141e-02,        +5.818463440125e+00,        -3.795281235172e+00,        +7.071067811865e+00,        +5.792337725547e+00,        -3.825962881246e+00,        +6.704039689589e-02,        +8.582469251143e-02,        +7.356328852267e+00,        -6.157149541849e-01,        +5.227570719858e-02,        +2.691544021533e-01,        +7.071067811865e+00,        +6.740812499699e-02,        +8.461073554742e-02,        +5.818463440125e+00,        -3.795281235172e+00,        +5.227570719860e-02,        +2.691544021534e-01,        +7.341732742901e+00,        -5.714746662254e-01
