        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 2.76000000e+02,        +1.904718357764e-13,        +1.871180583568e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.887032379326e-13,        +1.845507323153e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.194093886028e-13,        +1.533254229881e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.153213270893e-13,        +1.536162081739e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.81000000e+02,        +1.900338604695e-13,        +1.879386577257e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.883085316515e-13,        +1.853055929092e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.198510932130e-13,        +1.530480662700e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.157427266161e-13,        +1.533640290727e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.86000000e+02,        +1.895897397434e-13,        +1.887668591809e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.879084911990e-13,        +1.860681559200e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.202923175261e-13,        +1.527678686666e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.161643505529e-13,        +1.531097154938e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.91000000e+02,        +1.891396431105e-13,        +1.896022509527e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.875032821837e-13,        +1.868380771348e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.207327271313e-13,        +1.524848881476e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.165859116987e-13,        +1.528533341111e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.96000000e+02,        +1.886837524473e-13,        +1.904444257832e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.870930820929e-13,        +1.876150172911e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.211719901551e-13,        +1.521991904841e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.170071254967e-13,        +1.525949587970e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.01000000e+02,        +1.882222626764e-13,        +1.912929817817e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.866780809750e-13,        +1.883986428559e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.216097778444e-13,        +1.519108491931e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.174277105756e-13,        +1.523346706134e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.06000000e+02,        +1.877553824982e-13,        +1.921475233725e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.862584821721e-13,        +1.891886269003e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.220457651747e-13,        +1.516199454827e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.178473893142e-13,        +1.520725578217e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.11000000e+02,        +1.872833351772e-13,        +1.930076623250e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.858345031091e-13,        +1.899846500651e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.224796314825e-13,        +1.513265682090e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.182658884321e-13,        +1.518087159183e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.16000000e+02,        +1.868063593876e-13,        +1.938730188605e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.854063761448e-13,        +1.907864016106e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.229110611210e-13,        +1.510308138569e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.186829396035e-13,        +1.515432477028e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.21000000e+02,        +1.863247101267e-13,        +1.947432228268e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.849743494934e-13,        +1.915935805436e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.233397441393e-13,        +1.507327865605e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.190982800964e-13,        +1.512762633863e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.26000000e+02,        +1.858386596995e-13,        +1.956179149373e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.845386882215e-13,        +1.924058968178e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.237653769846e-13,        +1.504325981705e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.195116534362e-13,        +1.510078807436e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.31000000e+02,        +1.853484987836e-13,        +1.964967480716e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.840996753311e-13,        +1.932230726020e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.241876632262e-13,        +1.501303683796e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.199228100922e-13,        +1.507382253121e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.36000000e+02,        +1.848545375821e-13,        +1.973793886404e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.836576129351e-13,        +1.940448436192e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.246063142995e-13,        +1.498262249061e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.203315081875e-13,        +1.504674306364e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.41000000e+02,        +1.843571070701e-13,        +1.982655180193e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.832128235339e-13,        +1.948709605558e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.250210502710e-13,        +1.495203037361e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.207375142327e-13,        +1.501956385564e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.46000000e+02,        +1.838565603468e-13,        +1.991548340574e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.827656514032e-13,        +1.957011905491e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.254316006209e-13,        +1.492127494196e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.211406038794e-13,        +1.499229995339e-13,        +0.000000000000e+00,        +0.000000000000e+00
