        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[4][1]| (dB),        arg(S[4][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[4][2]| (dB),        arg(S[4][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.),             |S[4][3]| (dB),        arg(S[4][3]) (deg.),             |S[1][4]| (dB),        arg(S[1][4]) (deg.),             |S[2][4]| (dB),        arg(S[2][4]) (deg.),             |S[3][4]| (dB),        arg(S[3][4]) (deg.),             |S[4][4]| (dB),        arg(S[4][4]) (deg.)
 1.01000000e+02,        -3.437365798271e+01,        -1.143178320041e+02,        -3.632916564588e+01,        +5.869026615816e+01,        -9.029189648519e-02,        -1.371301697555e+01,        -4.508613053366e+01,        +8.787436559825e+01,        -3.632916564588e+01,        +5.869026615816e+01,        -3.515065939867e+01,        -1.124337460330e+02,        -4.505941118323e+01,        +8.818778553796e+01,        -8.920754220142e-02,        -1.358487836011e+01,        -9.029189648518e-02,        -1.371301697555e+01,        -4.505941118323e+01,        +8.818778553800e+01,        -3.081445950389e+01,        -5.616008058879e+01,        -3.608965813233e+01,        +8.121869336781e+01,        -4.508613053367e+01,        +8.787436559823e+01,        -8.920754220141e-02,        -1.358487836011e+01,        -3.608965813233e+01,        +8.121869336780e+01,        -3.139394742156e+01,        -5.497728817137e+01
 1.06000000e+02,        -3.382885649755e+01,        -1.176200043234e+02,        -3.592458033128e+01,        +5.767234744439e+01,        -9.189174637798e-02,        -1.438767881744e+01,        -4.464462705493e+01,        +8.630379890857e+01,        -3.592458033128e+01,        +5.767234744438e+01,        -3.461002964528e+01,        -1.158491384786e+02,        -4.461693124466e+01,        +8.663118654381e+01,        -9.073097907334e-02,        -1.425307991319e+01,        -9.189174637797e-02,        -1.438767881744e+01,        -4.461693124466e+01,        +8.663118654387e+01,        -3.031112078961e+01,        -5.663050518874e+01,        -3.567556975481e+01,        +8.129555670208e+01,        -4.464462705492e+01,        +8.630379890847e+01,        -9.073097907334e-02,        -1.425307991319e+01,        -3.567556975480e+01,        +8.129555670205e+01,        -3.089428460646e+01,        -5.549759961263e+01
 1.11000000e+02,        -3.329494219028e+01,        -1.207733574904e+02,        -3.553809370144e+01,        +5.663367600417e+01,        -9.351704618117e-02,        -1.506263288175e+01,        -4.422055995252e+01,        +8.478588523834e+01,        -3.553809370144e+01,        +5.663367600417e+01,        -3.407871754616e+01,        -1.191067710999e+02,        -4.419187487801e+01,        +8.512681538090e+01,        -9.227563287888e-02,        -1.492154450396e+01,        -9.351704618117e-02,        -1.506263288175e+01,        -4.419187487801e+01,        +8.512681538095e+01,        -2.982420322776e+01,        -5.705902124242e+01,        -3.527934398684e+01,        +8.135179326304e+01,        -4.422055995252e+01,        +8.478588523832e+01,        -9.227563287888e-02,        -1.492154450396e+01,        -3.527934398684e+01,        +8.135179326303e+01,        -3.041059204389e+01,        -5.597260977089e+01
 1.16000000e+02,        -3.277186748697e+01,        -1.237891715609e+02,        -3.516818423297e+01,        +5.557647208657e+01,        -9.517189968549e-02,        -1.573789714136e+01,        -4.381244711254e+01,        +8.331384214219e+01,        -3.516818423297e+01,        +5.557647208659e+01,        -3.355695705256e+01,        -1.222181605015e+02,        -4.378276025375e+01,        +8.366789339023e+01,        -9.384531496017e-02,        -1.559028878182e+01,        -9.517189968549e-02,        -1.573789714136e+01,        -4.378276025375e+01,        +8.366789339017e+01,        -2.935251401258e+01,        -5.745284718602e+01,        -3.489945458961e+01,        +8.138961676832e+01,        -4.381244711254e+01,        +8.331384214214e+01,        -9.384531496019e-02,        -1.559028878182e+01,        -3.489945458961e+01,        +8.138961676830e+01,        -2.994174672576e+01,        -5.640982928891e+01
 1.21000000e+02,        -3.225953531209e+01,        -1.266777059014e+02,        -3.481351503180e+01,        +5.450261413300e+01,        -9.686023335054e-02,        -1.641348875641e+01,        -4.341897803995e+01,        +8.188191111970e+01,        -3.481351503179e+01,        +5.450261413301e+01,        -3.304488947173e+01,        -1.251939300939e+02,        -4.338827733176e+01,        +8.224866544412e+01,        -9.544365098359e-02,        -1.625932868197e+01,        -9.686023335055e-02,        -1.641348875641e+01,        -4.338827733177e+01,        +8.224866544412e+01,        -2.889498821675e+01,        -5.781806998399e+01,        -3.453456095146e+01,        +8.141090034830e+01,        -4.341897803995e+01,        +8.188191111965e+01,        -9.544365098358e-02,        -1.625932868197e+01,        -3.453456095146e+01,        +8.141090034828e+01,        -2.948674074933e+01,        -5.681561087504e+01
 1.26000000e+02,        -3.175780994325e+01,        -1.294483044701e+02,        -3.447290531754e+01,        +5.341370181244e+01,        -9.858583461230e-02,        -1.708942409436e+01,        -4.303898986622e+01,        +8.048517032664e+01,        -3.447290531754e+01,        +5.341370181243e+01,        -3.254257973348e+01,        -1.280438666389e+02,        -4.300726380039e+01,        +8.086421282505e+01,        -9.707411960901e-02,        -1.692867944177e+01,        -9.858583461229e-02,        -1.708942409436e+01,        -4.300726380038e+01,        +8.086421282508e+01,        -2.845067312568e+01,        -5.815984294333e+01,        -3.418347935504e+01,        +8.141723847899e+01,        -4.303898986623e+01,        +8.048517032655e+01,        -9.707411960901e-02,        -1.692867944177e+01,        -3.418347935505e+01,        +8.141723847895e+01,        -2.904466825609e+01,        -5.719534829174e+01
 1.31000000e+02,        -3.126652582173e+01,        -1.321094893934e+02,        -3.414530717015e+01,        +5.231110567434e+01,        -1.003523817767e-01,        -1.776571875207e+01,        -4.267144723316e+01,        +7.911938771476e+01,        -3.414530717015e+01,        +5.231110567432e+01,        -3.205003031821e+01,        -1.307769782116e+02,        -4.263868489645e+01,        +7.951030641048e+01,        -9.874008253418e-02,        -1.759835561961e+01,        -1.003523817767e-01,        -1.776571875207e+01,        -4.263868489645e+01,        +7.951030641052e+01,        -2.801871450695e+01,        -5.848254401319e+01,        -3.384515962340e+01,        +8.140999576685e+01,        -4.267144723317e+01,        +7.911938771474e+01,        -9.874008253419e-02,        -1.759835561961e+01,        -3.384515962340e+01,        +8.140999576684e+01,        -2.861471373002e+01,        -5.755363640008e+01
 1.36000000e+02,        -3.078549469110e+01,        -1.346690439943e+02,        -3.382978640735e+01,        +5.119600657266e+01,        -1.021634674559e-01,        -1.844238757838e+01,        -4.231542531796e+01,        +7.778090489830e+01,        -3.382978640735e+01,        +5.119600657266e+01,        -3.156719306920e+01,        -1.334015516949e+02,        -4.228161637775e+01,        +7.818329044862e+01,        -1.004448079047e-01,        -1.826837111553e+01,        -1.021634674559e-01,        -1.844238757838e+01,        -4.228161637774e+01,        +7.818329044860e+01,        -2.759834461467e+01,        -5.878990339852e+01,        -3.351866598553e+01,        +8.139034585454e+01,        -4.231542531796e+01,        +7.778090489831e+01,        -1.004448079048e-01,        -1.826837111553e+01,        -3.351866598553e+01,        +8.139034585454e+01,        -2.819614158934e+01,        -5.789440073122e+01
 1.41000000e+02,        -3.031451137459e+01,        -1.371340864904e+02,        -3.352550673678e+01,        +5.006942713222e+01,        -1.040226170261e-01,        -1.911944469758e+01,        -4.197009540882e+01,        +7.646654445947e+01,        -3.352550673678e+01,        +5.006942713219e+01,        -3.109397913973e+01,        -1.359252085893e+02,        -4.193523006565e+01,        +7.687998965471e+01,        -1.021914886555e-01,        -1.893873919422e+01,        -1.040226170261e-01,        -1.911944469758e+01,        -4.193523006565e+01,        +7.687998965480e+01,        -2.718887172813e+01,        -5.908510718004e+01,        -3.320316127314e+01,        +8.135930282324e+01,        -4.197009540881e+01,        +7.646654445947e+01,        -1.021914886555e-01,        -1.893873919422e+01,        -3.320316127313e+01,        +8.135930282324e+01,        -2.778828697063e+01,        -5.822100308037e+01
 1.46000000e+02,        -2.985335844918e+01,        -1.395111355191e+02,        -3.323171653576e+01,        +4.893225692484e+01,        -1.059333033679e-01,        -1.979690353426e+01,        -4.163471256925e+01,        +7.517353512145e+01,        -3.323171653576e+01,        +4.893225692484e+01,        -3.063026732805e+01,        -1.383549583848e+02,        -4.159878150351e+01,        +7.559763411940e+01,        -1.039832571676e-01,        -1.960947251121e+01,        -1.059333033679e-01,        -1.979690353426e+01,        -4.159878150351e+01,        +7.559763411940e+01,        -2.678967103542e+01,        -5.937088205162e+01,        -3.289789376194e+01,        +8.131774680027e+01,        -4.163471256925e+01,        +7.517353512148e+01,        -1.039832571676e-01,        -1.960947251121e+01,        -3.289789376194e+01,        +8.131774680028e+01,        -2.739054759120e+01,        -5.853632814132e+01
 1.51000000e+02,        -2.940181003161e+01,        -1.418061685255e+02,        -3.294773776874e+01,        +4.778527264160e+01,        -1.078989590078e-01,        -2.047477683956e+01,        -4.130860504481e+01,        +7.389945052526e+01,        -3.294773776874e+01,        +4.778527264162e+01,        -3.017591104087e+01,        -1.406972490279e+02,        -4.127159938561e+01,        +7.433379785418e+01,        -1.058231974933e-01,        -2.028058314194e+01,        -1.078989590078e-01,        -2.047477683956e+01,        -4.127159938561e+01,        +7.433379785410e+01,        -2.640017669162e+01,        -5.964956510500e+01,        -3.260218612703e+01,        +8.126644498338e+01,        -4.130860504481e+01,        +7.389945052529e+01,        -1.058231974933e-01,        -2.028058314194e+01,        -3.260218612703e+01,        +8.126644498338e+01,        -2.700237657801e+01,        -5.884285508166e+01
 1.56000000e+02,        -2.895963485372e+01,        -1.440246738849e+02,        -3.267295666541e+01,        +4.662915432204e+01,        -1.099229865675e-01,        -2.115307671717e+01,        -4.099116516164e+01,        +7.264215843596e+01,        -3.267295666541e+01,        +4.662915432204e+01,        -2.973074410271e+01,        -1.429580141994e+02,        -4.095307649892e+01,        +7.308634789374e+01,        -1.077143561396e-01,        -2.095208261121e+01,        -1.099229865675e-01,        -2.115307671717e+01,        -4.095307649892e+01,        +7.308634789377e+01,        -2.601987490192e+01,        -5.992316169277e+01,        -3.231542610575e+01,        +8.120606894343e+01,        -4.099116516164e+01,        +7.264215843596e+01,        -1.077143561397e-01,        -2.095208261121e+01,        -3.231542610575e+01,        +8.120606894342e+01,        -2.662327616082e+01,        -5.914271708794e+01
 1.61000000e+02,        -2.852659876871e+01,        -1.461716974746e+02,        -3.240681585840e+01,        +4.546449855045e+01,        -1.120087680940e-01,        -2.183181464672e+01,        -4.068184152974e+01,        +7.139977813834e+01,        -3.240681585840e+01,        +4.546449855046e+01,        -2.929458559775e+01,        -1.451427172300e+02,        -4.064266197606e+01,        +7.185340176222e+01,        -1.096597519838e-01,        -2.162398191967e+01,        -1.120087680940e-01,        -2.183181464672e+01,        -4.064266197606e+01,        +7.185340176223e+01,        -2.564829789970e+01,        -6.019339370713e+01,        -3.203705855920e+01,        +8.113720885211e+01,        -4.068184152973e+01,        +7.139977813835e+01,        -1.096597519838e-01,        -2.162398191967e+01,        -3.203705855920e+01,        +8.113720885211e+01,        -2.625279213842e+01,        -5.943775122070e+01
 1.66000000e+02,        -2.810246679692e+01,        -1.482518842827e+02,        -3.214880772866e+01,        +4.429182938184e+01,        -1.141596734723e-01,        -2.251100150178e+01,        -4.038013239191e+01,        +7.017064452310e+01,        -3.214880772866e+01,        +4.429182938184e+01,        -2.886724389684e+01,        -1.472563915896e+02,        -4.033985468500e+01,        +7.063329178946e+01,        -1.116623854353e-01,        -2.229629156373e+01,        -1.141596734723e-01,        -2.251100150178e+01,        -4.033985468500e+01,        +7.063329178948e+01,        -2.528501870544e+01,        -6.046174007825e+01,        -3.176657869666e+01,        +8.106038517110e+01,        -4.038013239190e+01,        +7.017064452309e+01,        -1.116623854353e-01,        -2.229629156373e+01,        -3.176657869666e+01,        +8.106038517109e+01,        -2.589050903451e+01,        -5.972954037516e+01
 1.71000000e+02,        -2.768700479101e+01,        -1.502695155715e+02,        -3.189846874259e+01,        +4.311160758480e+01,        -1.163790678373e-01,        -2.319064756134e+01,        -4.008557996268e+01,        +6.895327785298e+01,        -3.189846874259e+01,        +4.311160758480e+01,        -2.844851999287e+01,        -1.493036779904e+02,        -4.004419758888e+01,        +6.942453520247e+01,        -1.137252466308e-01,        -2.296902154757e+01,        -1.163790678373e-01,        -2.319064756134e+01,        -4.004419758887e+01,        +6.942453520247e+01,        -2.492964656459e+01,        -6.072947089334e+01,        -3.150352627737e+01,        +8.097605828380e+01,        -4.008557996268e+01,        +6.895327785299e+01,        -1.137252466308e-01,        -2.296902154757e+01,        -3.150352627737e+01,        +8.097605828380e+01,        -2.553604586401e+01,        -6.001944873218e+01
 1.76000000e+02,        -2.727998078011e+01,        -1.522285420736e+02,        -3.165537459779e+01,        +4.192423860157e+01,        -1.186703178039e-01,        -2.387076251478e+01,        -3.979776559887e+01,        +6.774635843763e+01,        -3.165537459780e+01,        +4.192423860156e+01,        -2.803821024496e+01,        -1.512888582480e+02,        -3.975527291528e+01,        +6.822580913361e+01,        -1.158513223624e-01,        -2.364218138745e+01,        -1.186703178039e-01,        -2.387076251478e+01,        -3.975527291528e+01,        +6.822580913364e+01,        -2.458182297223e+01,        -6.099767624303e+01,        -3.124748063672e+01,        +8.088463650280e+01,        -3.979776559887e+01,        +6.774635843763e+01,        -1.158513223624e-01,        -2.364218138745e+01,        -3.124748063672e+01,        +8.088463650280e+01,        -2.518905243306e+01,        -6.030865178954e+01
 1.81000000e+02,        -2.688116604027e+01,        -1.541326136797e+02,        -3.141913602778e+01,        +4.073007946732e+01,        -1.210367963996e-01,        -2.455135546217e+01,        -3.951630565005e+01,        +6.654870552019e+01,        -3.141913602778e+01,        +4.073007946732e+01,        -2.763610861761e+01,        -1.532158861178e+02,        -3.947269798780e+01,        +6.703592978084e+01,        -1.180436015640e-01,        -2.431578011069e+01,        -1.210367963996e-01,        -2.455135546217e+01,        -3.947269798779e+01,        +6.703592978083e+01,        -2.424121820297e+01,        -6.126729068667e+01,        -3.099805640601e+01,        +8.078648281889e+01,        -3.951630565006e+01,        +6.654870552021e+01,        -1.180436015640e-01,        -2.431578011069e+01,        -3.099805640602e+01,        +8.078648281890e+01,        -2.484920610089e+01,        -6.059816185917e+01
 1.86000000e+02,        -2.649033593197e+01,        -1.559851060437e+02,        -3.118939514878e+01,        +3.952944482745e+01,        -1.234818867255e-01,        -2.523243491165e+01,        -3.924084785735e+01,        +6.535925969465e+01,        -3.118939514878e+01,        +3.952944482745e+01,        -2.724200849143e+01,        -1.550884153603e+02,        -3.919612159605e+01,        +6.585383500447e+01,        -1.203050793758e-01,        -2.498982625185e+01,        -1.234818867255e-01,        -2.523243491165e+01,        -3.919612159605e+01,        +6.585383500446e+01,        -2.390752827407e+01,        -6.153911406817e+01,        -3.075489981294e+01,        +8.068192067601e+01,        -3.924084785736e+01,        +6.535925969468e+01,        -1.203050793758e-01,        -2.498982625185e+01,        -3.075489981294e+01,        +8.068192067602e+01,        -2.451620893821e+01,        -6.088884976782e+01
 1.91000000e+02,        -2.610727054154e+01,        -1.577891444896e+02,        -3.096582225954e+01,        +3.832261214383e+01,        -1.260089844969e-01,        -2.591400877602e+01,        -3.897106819586e+01,        +6.417706820788e+01,        -3.096582225954e+01,        +3.832261214384e+01,        -2.685570411411e+01,        -1.569098252897e+02,        -3.892522080770e+01,        +6.467856971531e+01,        -1.226387599760e-01,        -2.566432784828e+01,        -1.260089844969e-01,        -2.591400877602e+01,        -3.892522080770e+01,        +6.467856971532e+01,        -2.358047228090e+01,        -6.181382928723e+01,        -3.051768546709e+01,        +8.057123897562e+01,        -3.897106819586e+01,        +6.417706820789e+01,        -1.226387599760e-01,        -2.566432784828e+01,        -3.051768546709e+01,        +8.057123897563e+01,        -2.418978522581e+01,        -6.118146338255e+01
 1.96000000e+02,        -2.573175516015e+01,        -1.595476255503e+02,        -3.074811302619e+01,        +3.710982616871e+01,        -1.286214996793e-01,        -2.659608436948e+01,        -3.870666808366e+01,        +6.300127257541e+01,        -3.074811302619e+01,        +3.710982616872e+01,        -2.647699175286e+01,        -1.586832440413e+02,        -3.865969815023e+01,        +6.350927350209e+01,        -1.250476584448e-01,        -2.633929243654e+01,        -1.286214996793e-01,        -2.659608436948e+01,        -3.865969815023e+01,        +6.350927350210e+01,        -2.325979005282e+01,        -6.209201752571e+01,        -3.028611355122e+01,        +8.045469644996e+01,        -3.870666808366e+01,        +6.300127257540e+01,        -1.250476584448e-01,        -2.633929243654e+01,        -3.028611355121e+01,        +8.045469644996e+01,        -2.386967924639e+01,        -6.147664348135e+01
 2.01000000e+02,        -2.536358062977e+01,        -1.612632364215e+02,        -3.053598599889e+01,        +3.589130276776e+01,        -1.313228574356e-01,        -2.727866840528e+01,        -3.844737190134e+01,        +6.183109804120e+01,        -3.053598599889e+01,        +3.589130276775e+01,        -2.610567060072e+01,        -1.604115697657e+02,        -3.839927910928e+01,        +6.234517005531e+01,        -1.275348019212e-01,        -2.701472705025e+01,        -1.313228574356e-01,        -2.727866840528e+01,        -3.839927910927e+01,        +6.234517005532e+01,        -2.294524008666e+01,        -6.237417134060e+01,        -3.005990735385e+01,        +8.033252550014e+01,        -3.844737190134e+01,        +6.183109804124e+01,        -1.275348019212e-01,        -2.701472705025e+01,        -3.005990735385e+01,        +8.033252550015e+01,        -2.355565333034e+01,        -6.177493740088e+01
 2.06000000e+02,        -2.500254358130e+01,        -1.629384725623e+02,        -3.032918041671e+01,        +3.466723217690e+01,        -1.341164985686e-01,        -2.796176699447e+01,        -3.819292478079e+01,        +6.066584451542e+01,        -3.032918041671e+01,        +3.466723217689e+01,        -2.574154348117e+01,        -1.620974899369e+02,        -3.814370990243e+01,        +6.118555804546e+01,        -1.301032302688e-01,        -2.769063821946e+01,        -1.341164985686e-01,        -2.796176699447e+01,        -3.814370990243e+01,        +6.118555804549e+01,        -2.263659772098e+01,        -6.266070596110e+01,        -2.983881109150e+01,        +8.020493556972e+01,        -3.819292478080e+01,        +6.066584451543e+01,        -1.301032302688e-01,        -2.769063821946e+01,        -2.983881109150e+01,        +8.020493556972e+01,        -2.324748612309e+01,        -6.207681081621e+01
 2.11000000e+02,        -2.464844658574e+01,        -1.645756536467e+02,        -3.012745426385e+01,        +3.343778177525e+01,        -1.370058795947e-01,        -2.864538564555e+01,        -3.794309063085e+01,        +5.950487871388e+01,        -3.012745426386e+01,        +3.343778177525e+01,        -2.538441738772e+01,        -1.637434989387e+02,        -3.789275549546e+01,        +6.002980319594e+01,        -1.327559964015e-01,        -2.836703197127e+01,        -1.370058795947e-01,        -2.864538564555e+01,        -3.789275549545e+01,        +6.002980319593e+01,        -2.233365352041e+01,        -6.295196906671e+01,        -2.962258797861e+01,        +8.007211611051e+01,        -3.794309063085e+01,        +5.950487871390e+01,        -1.327559964015e-01,        -2.836703197127e+01,        -2.962258797861e+01,        +8.007211611052e+01,        -2.294497104643e+01,        -6.238265794300e+01
 2.16000000e+02,        -2.430109823540e+01,        -1.661769380354e+02,        -2.993058254525e+01,        +3.220309844935e+01,        -1.399944725454e-01,        -2.932952926501e+01,        -3.769765037280e+01,        +5.834762729175e+01,        -2.993058254524e+01,        +3.220309844935e+01,        -2.503410388830e+01,        -1.653519140806e+02,        -3.764619783248e+01,        +5.887733135301e+01,        -1.354961663740e-01,        -2.904391383153e+01,        -1.399944725454e-01,        -2.932952926501e+01,        -3.764619783248e+01,        +5.887733135302e+01,        -2.203621184345e+01,        -6.324824927405e+01,        -2.941101851115e+01,        +7.993423918974e+01,        -3.769765037280e+01,        +5.834762729175e+01,        -1.354961663741e-01,        -2.904391383153e+01,        -2.941101851115e+01,        +7.993423918974e+01,        -2.264791493036e+01,        -6.269281040003e+01
 2.21000000e+02,        -2.396031316888e+01,        -1.677443359184e+02,        -2.973835575374e+01,        +3.096331061400e+01,        -1.430857645592e-01,        -3.001420215850e+01,        -3.745640036197e+01,        +5.719357081360e+01,        -2.973835575375e+01,        +3.096331061400e+01,        -2.469041941933e+01,        -1.669248901831e+02,        -3.740383425518e+01,        +5.772762240085e+01,        -1.383268192977e-01,        -2.972128882731e+01,        -1.430857645592e-01,        -3.001420215850e+01,        -3.740383425518e+01,        +5.772762240085e+01,        -2.174408957072e+01,        -6.354978352116e+01,        -2.920389893545e+01,        +7.979146178246e+01,        -3.745640036197e+01,        +5.719357081365e+01,        -1.383268192977e-01,        -2.972128882731e+01,        -2.920389893545e+01,        +7.979146178248e+01,        -2.235613679480e+01,        -6.300754492812e+01
 2.26000000e+02,        -2.362591205099e+01,        -1.692797212634e+02,        -2.955057850465e+01,        +2.971852994416e+01,        -1.462832573084e-01,        -3.069940803261e+01,        -3.721915097420e+01,        +5.604223843656e+01,        -2.955057850465e+01,        +2.971852994416e+01,        -2.435318548924e+01,        -1.684644328593e+02,        -3.716547608871e+01,        +5.658020489809e+01,        -1.412510471245e-01,        -3.039916148995e+01,        -1.462832573084e-01,        -3.069940803261e+01,        -3.716547608871e+01,        +5.658020489809e+01,        -2.145711497394e+01,        -6.385676350597e+01,        -2.900103987861e+01,        +7.964392778903e+01,        -3.721915097420e+01,        +5.604223843656e+01,        -1.412510471245e-01,        -3.039916148995e+01,        -2.900103987861e+01,        +7.964392778903e+01,        -2.206946676349e+01,        -6.332709012808e+01
 2.31000000e+02,        -2.329772151675e+01,        -1.707848426861e+02,        -2.936706831648e+01,        +2.846885286242e+01,        -1.495904662919e-01,        -3.138514999720e+01,        -3.698572533818e+01,        +5.489320320687e+01,        -2.936706831648e+01,        +2.846885286242e+01,        -2.402222880829e+01,        -1.699724106129e+02,        -3.693094737449e+01,        +5.543465133702e+01,        -1.442719543236e-01,        -3.107753585867e+01,        -1.495904662919e-01,        -3.138514999720e+01,        -3.693094737449e+01,        +5.543465133702e+01,        -2.117512670807e+01,        -6.416934131108e+01,        -2.880226512017e+01,        +7.949176981288e+01,        -3.698572533818e+01,        +5.489320320686e+01,        -1.442719543236e-01,        -3.107753585867e+01,        -2.880226512017e+01,        +7.949176981288e+01,        -2.178774509415e+01,        -6.365163235373e+01
 2.36000000e+02,        -2.297557408673e+01,        -1.722613333506e+02,        -2.918765451973e+01,        +2.721436181804e+01,        -1.530109200180e-01,        -3.207143056820e+01,        -3.675595819634e+01,        +5.374607788737e+01,        -2.918765451973e+01,        +2.721436181805e+01,        -2.369738135818e+01,        -1.714505658604e+02,        -3.670008373218e+01,        +5.429057394054e+01,        -1.473926574723e-01,        -3.175641548463e+01,        -1.530109200180e-01,        -3.207143056820e+01,        -3.670008373218e+01,        +5.429057394053e+01,        -2.089797291185e+01,        -6.448763432546e+01,        -2.860741048779e+01,        +7.933511072993e+01,        -3.675595819634e+01,        +5.374607788735e+01,        -1.473926574723e-01,        -3.175641548463e+01,        -2.860741048778e+01,        +7.933511072992e+01,        -2.151082131116e+01,        -6.398132087482e+01
 2.41000000e+02,        -2.265930805998e+01,        -1.737107199936e+02,        -2.901217727798e+01,        +2.595512638658e+01,        -1.565481590990e-01,        -3.275825167101e+01,        -3.652969487929e+01,        +5.260051124603e+01,        -2.901217727798e+01,        +2.595512638657e+01,        -2.337848041296e+01,        -1.729005249792e+02,        -3.647273133526e+01,        +5.314762092546e+01,        -1.506162847783e-01,        -3.243580343546e+01,        -1.565481590990e-01,        -3.275825167101e+01,        -3.647273133526e+01,        +5.314762092549e+01,        -2.062551040336e+01,        -6.481172955783e+01,        -2.841632286186e+01,        +7.917406507685e+01,        -3.652969487929e+01,        +5.260051124606e+01,        -1.506162847784e-01,        -3.243580343546e+01,        -2.841632286186e+01,        +7.917406507686e+01,        -2.123855342867e+01,        -6.431627240710e+01
 2.46000000e+02,        -2.234876738966e+01,        -1.751344311589e+02,        -2.884048670774e+01,        +2.469120421340e+01,        -1.602057352779e-01,        -3.344561464449e+01,        -3.630679038024e+01,        +5.145618474561e+01,        -2.884048670774e+01,        +2.469120421339e+01,        -2.306536852056e+01,        -1.743238074721e+02,        -3.624874598669e+01,        +5.200547317072e+01,        -1.539459755510e-01,        -3.311570230044e+01,        -1.602057352778e-01,        -3.344561464449e+01,        -3.624874598669e+01,        +5.200547317072e+01,        -2.035760395930e+01,        -6.514168742169e+01,        -2.822885927628e+01,        +7.900874028176e+01,        -3.630679038024e+01,        +5.145618474561e+01,        -1.539459755510e-01,        -3.311570230044e+01,        -2.822885927628e+01,        +7.900874028176e+01,        -2.097080725340e+01,        -6.465657509252e+01
 2.51000000e+02,        -2.204380154538e+01,        -1.765338047185e+02,        -2.867244208540e+01,        +2.342264182000e+01,        -1.639872104071e-01,        -3.413352024561e+01,        -3.608710851761e+01,        +5.031280958239e+01,        -2.867244208540e+01,        +2.342264182000e+01,        -2.275789345292e+01,        -1.757218343321e+02,        -3.602799228265e+01,        +5.086384123612e+01,        -1.573848796395e-01,        -3.379611419614e+01,        -1.639872104071e-01,        -3.413352024561e+01,        -3.602799228265e+01,        +5.086384123613e+01,        -2.009412566788e+01,        -6.547754506106e+01,        -2.804488610397e+01,        +7.883923775769e+01,        -3.608710851761e+01,        +5.031280958238e+01,        -1.573848796395e-01,        -3.379611419614e+01,        -2.804488610397e+01,        +7.883923775768e+01,        -2.070745575793e+01,        -6.500229200076e+01
 2.56000000e+02,        -2.174426536593e+01,        -1.779100947496e+02,        -2.850791113125e+01,        +2.214947528870e+01,        -1.678961554020e-01,        -3.482196865493e+01,        -3.587052117555e+01,        +4.917012402909e+01,        -2.850791113125e+01,        +2.214947528869e+01,        -2.245590813127e+01,        -1.770959356831e+02,        -3.581034285408e+01,        +4.972246268638e+01,        -1.609361568575e-01,        -3.447704077280e+01,        -1.678961554020e-01,        -3.482196865493e+01,        -3.581034285408e+01,        +4.972246268639e+01,        -1.983495434680e+01,        -6.581931927589e+01,        -2.786427831746e+01,        +7.866565387600e+01,        -3.587052117555e+01,        +4.917012402908e+01,        -1.609361568575e-01,        -3.447704077280e+01,        -2.786427831746e+01,        +7.866565387599e+01,        -2.044837851611e+01,        -6.535346421320e+01
 2.61000000e+02,        -2.145001890527e+01,        -1.792644778285e+02,        -2.834676936199e+01,        +2.087173083821e+01,        -1.719361491894e-01,        -3.551095948280e+01,        -3.565690761332e+01,        +4.802789104269e+01,        -2.834676936199e+01,        +2.087173083821e+01,        -2.215927053196e+01,        -1.784473577652e+02,        -3.559567767705e+01,        +4.858109967926e+01,        -1.646029764161e-01,        -3.515848322147e+01,        -1.719361491894e-01,        -3.551095948280e+01,        -3.559567767704e+01,        +4.858109967926e+01,        -1.957997501848e+01,        -6.616700909824e+01,        -2.768691881597e+01,        +7.848808083504e+01,        -3.565690761332e+01,        +4.802789104267e+01,        -1.646029764161e-01,        -3.515848322147e+01,        -2.768691881597e+01,        +7.848808083503e+01,        -2.019346119365e+01,        -6.571011354198e+01
 2.66000000e+02,        -2.116092727407e+01,        +1.794019412013e+02,        -2.818889950419e+01,        +1.958942530088e+01,        -1.761107776795e-01,        -3.620049177655e+01,        -3.544615383565e+01,        +4.688589610296e+01,        -2.818889950419e+01,        +1.958942530088e+01,        -2.186784357745e+01,        -1.797772693266e+02,        -3.538388344420e+01,        +4.743953678304e+01,        -1.683885163868e-01,        -3.584044228192e+01,        -1.761107776795e-01,        -3.620049177655e+01,        -3.538388344419e+01,        +4.743953678306e+01,        -1.932907843612e+01,        -6.652059806317e+01,        -2.751269781156e+01,        +7.830660743653e+01,        -3.544615383565e+01,        +4.688589610296e+01,        -1.683885163868e-01,        -3.584044228192e+01,        -2.751269781156e+01,        +7.830660743652e+01,        -1.994259508744e+01,        -6.607224493004e+01
