        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            Re{I[4][1]} (A),            Im{I[4][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            Re{I[4][2]} (A),            Im{I[4][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A),            Re{I[4][3]} (A),            Im{I[4][3]} (A),            I_inc[4][4] (A),            Re{I[1][4]} (A),            Im{I[1][4]} (A),            Re{I[2][4]} (A),            Im{I[2][4]} (A),            Re{I[3][4]} (A),            Im{I[3][4]} (A),            Re{I[4][4]} (A),            Im{I[4][4]} (A)
 1.01000000e+02,        +1.414213562373e-01,        +1.403083020099e-01,        -2.463097650607e-03,        +1.121449108429e-03,        +1.843754059226e-03,        +1.359693750602e-01,        -3.317848904660e-02,        +2.920618152358e-05,        +7.868818532513e-04,        +1.414213562373e-01,        +1.121449108429e-03,        +1.843754059226e-03,        +1.404781486344e-01,        -2.284573055111e-03,        +2.497807609452e-05,        +7.894546156190e-04,        +1.360602215066e-01,        -3.287842319245e-02,        +1.414213562373e-01,        +1.359693750602e-01,        -3.317848904660e-02,        +2.497807609393e-05,        +7.894546156187e-04,        +1.436888667734e-01,        -3.382067061449e-03,        +3.386624487230e-04,        +2.192357251796e-03,        +1.414213562373e-01,        +2.920618152374e-05,        +7.868818532504e-04,        +1.360602215066e-01,        -3.287842319245e-02,        +3.386624487233e-04,        +2.192357251796e-03,        +1.436073790205e-01,        -3.119331656796e-03
 1.06000000e+02,        +1.414213562373e-01,        +1.400871570403e-01,        -2.549918904222e-03,        +1.209052296116e-03,        +1.910489541015e-03,        +1.355443107763e-01,        -3.477079590661e-02,        +5.340910880310e-05,        +8.267597514178e-04,        +1.414213562373e-01,        +1.209052296117e-03,        +1.910489541015e-03,        +1.402745156068e-01,        -2.367170652238e-03,        +4.883964585444e-05,        +8.296927756817e-04,        +1.356437460181e-01,        -3.445688481725e-02,        +1.414213562373e-01,        +1.355443107763e-01,        -3.477079590661e-02,        +4.883964585350e-05,        +8.296927756817e-04,        +1.437946429744e-01,        -3.603451449339e-03,        +3.521137636862e-04,        +2.299880880645e-03,        +1.414213562373e-01,        +5.340910880451e-05,        +8.267597514181e-04,        +1.356437460181e-01,        -3.445688481725e-02,        +3.521137636878e-04,        +2.299880880646e-03,        +1.437067196303e-01,        -3.324925948154e-03
 1.11000000e+02,        +1.414213562373e-01,        +1.398555599493e-01,        -2.629426872620e-03,        +1.300065016930e-03,        +1.974175954395e-03,        +1.351000273183e-01,        -3.635827753057e-02,        +7.905791262333e-05,        +8.663356359234e-04,        +1.414213562373e-01,        +1.300065016931e-03,        +1.974175954396e-03,        +1.400611424142e-01,        -2.443142420415e-03,        +7.414600280332e-05,        +8.696580194488e-04,        +1.352084713284e-01,        -3.603063890138e-02,        +1.414213562373e-01,        +1.351000273183e-01,        -3.635827753057e-02,        +7.414600280256e-05,        +8.696580194485e-04,        +1.439029113737e-01,        -3.829891219526e-03,        +3.661852962498e-04,        +2.407585277111e-03,        +1.414213562373e-01,        +7.905791262358e-05,        +8.663356359239e-04,        +1.352084713284e-01,        -3.603063890138e-02,        +3.661852962503e-04,        +2.407585277111e-03,        +1.438083687150e-01,        -3.535244858314e-03
 1.16000000e+02,        +1.414213562373e-01,        +1.396137466814e-01,        -2.701279146300e-03,        +1.394405901482e-03,        +2.034685609001e-03,        +1.346364974265e-01,        -3.794071919346e-02,        +1.061598989116e-04,        +9.055841892575e-04,        +1.414213562373e-01,        +1.394405901481e-03,        +2.034685609002e-03,        +1.398382427633e-01,        -2.512175309395e-03,        +1.009062683460e-04,        +9.093255069146e-04,        +1.347543746618e-01,        -3.759947822162e-02,        +1.414213562373e-01,        +1.346364974265e-01,        -3.794071919346e-02,        +1.009062683469e-04,        +9.093255069141e-04,        +1.440135432887e-01,        -4.061538604855e-03,        +3.808958185707e-04,        +2.515472984887e-03,        +1.414213562373e-01,        +1.061598989123e-04,        +9.055841892570e-04,        +1.347543746618e-01,        -3.759947822162e-02,        +3.808958185718e-04,        +2.515472984887e-03,        +1.439122088179e-01,        -3.750430229250e-03
 1.21000000e+02,        +1.414213562373e-01,        +1.393619582162e-01,        -2.765139200216e-03,        +1.491988590922e-03,        +2.091892739009e-03,        +1.341536991249e-01,        -3.951790187060e-02,        +1.347234488456e-04,        +9.444786227625e-04,        +1.414213562373e-01,        +1.491988590922e-03,        +2.091892739010e-03,        +1.396060344699e-01,        -2.573961520185e-03,        +1.291306689175e-04,        +9.486688400554e-04,        +1.342814384904e-01,        -3.916319181143e-02,        +1.414213562373e-01,        +1.341536991249e-01,        -3.951790187060e-02,        +1.291306689174e-04,        +9.486688400539e-04,        +1.441264006185e-01,        -4.298543478850e-03,        +3.962635541694e-04,        +2.623546324848e-03,        +1.414213562373e-01,        +1.347234488465e-04,        +9.444786227623e-04,        +1.342814384904e-01,        -3.916319181143e-02,        +3.962635541703e-04,        +2.623546324848e-03,        +1.440181134906e-01,        -3.970621769007e-03
 1.26000000e+02,        +1.414213562373e-01,        +1.391004411999e-01,        -2.820676444629e-03,        +1.592721869518e-03,        +2.145673619759e-03,        +1.336516152845e-01,        -4.108960230486e-02,        +1.647577747279e-04,        +9.829906165042e-04,        +1.414213562373e-01,        +1.592721869518e-03,        +2.145673619758e-03,        +1.393647401001e-01,        -2.628198542630e-03,        +1.588302884986e-04,        +9.876600046045e-04,        +1.337896500680e-01,        -4.072156502088e-02,        +1.414213562373e-01,        +1.336516152845e-01,        -4.108960230486e-02,        +1.588302884984e-04,        +9.876600046058e-04,        +1.442413364832e-01,        -4.541052912879e-03,        +4.123063444329e-04,        +2.731807358594e-03,        +1.414213562373e-01,        +1.647577747293e-04,        +9.829906165037e-04,        +1.337896500680e-01,        -4.072156502088e-02,        +4.123063444345e-04,        +2.731807358594e-03,        +1.441259479307e-01,        -4.195956633633e-03
 1.31000000e+02,        +1.414213562373e-01,        +1.388294484435e-01,        -2.867566303426e-03,        +1.696509778038e-03,        +2.195906698120e-03,        +1.331302333175e-01,        -4.265559308201e-02,        +1.962726876569e-04,        +1.021090269519e-03,        +1.414213562373e-01,        +1.696509778038e-03,        +2.195906698119e-03,        +1.391145874739e-01,        -2.674589220074e-03,        +1.900168351059e-04,        +1.026269323234e-03,        +1.332790010990e-01,        -4.227437958584e-02,        +1.414213562373e-01,        +1.331302333175e-01,        -4.265559308201e-02,        +1.900168351054e-04,        +1.026269323234e-03,        +1.443581957692e-01,        -4.789210755822e-03,        +4.290417842888e-04,        +2.840257843280e-03,        +1.414213562373e-01,        +1.962726876572e-04,        +1.021090269518e-03,        +1.332790010990e-01,        -4.227437958584e-02,        +4.290417842890e-04,        +2.840257843279e-03,        +1.442355695236e-01,        -4.426569028169e-03
 1.36000000e+02,        +1.414213562373e-01,        +1.385492393145e-01,        -2.905490324860e-03,        +1.803251718802e-03,        +2.242472735120e-03,        +1.325895449734e-01,        -4.421564271167e-02,        +2.292783740371e-04,        +1.058746067376e-03,        +1.414213562373e-01,        +1.803251718801e-03,        +2.242472735119e-03,        +1.388558100593e-01,        -2.712841843884e-03,        +2.227024189955e-04,        +1.064465425668e-03,        +1.327494875095e-01,        -4.382141370539e-02,        +1.414213562373e-01,        +1.325895449734e-01,        -4.421564271167e-02,        +2.227024189961e-04,        +1.064465425669e-03,        +1.444768156105e-01,        -5.043157240254e-03,        +4.464873274880e-04,        +2.948899178832e-03,        +1.414213562373e-01,        +2.292783740368e-04,        +1.058746067376e-03,        +1.327494875095e-01,        -4.382141370539e-02,        +4.464873274879e-04,        +2.948899178832e-03,        +1.443468283201e-01,        -4.662589831091e-03
 1.41000000e+02,        +1.414213562373e-01,        +1.382600800360e-01,        -2.934136323192e-03,        +1.912842562827e-03,        +2.285254956437e-03,        +1.320295462101e-01,        -4.576951571490e-02,        +2.637851828398e-04,        +1.095924872673e-03,        +1.414213562373e-01,        +1.912842562828e-03,        +2.285254956437e-03,        +1.385886472692e-01,        -2.742670273920e-03,        +2.568993444088e-04,        +1.102215239569e-03,        +1.322011092953e-01,        -4.536244212943e-02,        +1.414213562373e-01,        +1.320295462101e-01,        -4.576951571490e-02,        +2.568993444071e-04,        +1.102215239570e-03,        +1.445970258219e-01,        -5.303028618241e-03,        +4.646603620845e-04,        +3.057732352053e-03,        +1.414213562373e-01,        +2.637851828400e-04,        +1.095924872674e-03,        +1.322011092953e-01,        -4.536244212943e-02,        +4.646603620847e-04,        +3.057732352054e-03,        +1.444595674709e-01,        -4.904146246963e-03
 1.46000000e+02,        +1.414213562373e-01,        +1.379622439031e-01,        -2.953198543054e-03,        +2.025172766456e-03,        +2.324139202204e-03,        +1.314502371203e-01,        -4.731697271920e-02,        +2.998034297303e-04,        +1.132591940517e-03,        +1.414213562373e-01,        +2.025172766455e-03,        +2.324139202203e-03,        +1.383133446761e-01,        -2.763794075016e-03,        +2.926199195880e-04,        +1.139484002462e-03,        +1.316338704225e-01,        -4.689723625688e-02,        +1.414213562373e-01,        +1.314502371203e-01,        -4.731697271920e-02,        +2.926199195880e-04,        +1.139484002463e-03,        +1.447186492969e-01,        -5.568956829294e-03,        +4.835782589628e-04,        +3.166757884051e-03,        +1.414213562373e-01,        +2.998034297299e-04,        +1.132591940518e-03,        +1.316338704225e-01,        -4.689723625688e-02,        +4.835782589625e-04,        +3.166757884052e-03,        +1.445736236273e-01,        -5.151361492663e-03
 1.51000000e+02,        +1.414213562373e-01,        +1.376560114252e-01,        -2.962377833950e-03,        +2.140128498690e-03,        +2.359014065106e-03,        +1.308516218945e-01,        -4.885777055918e-02,        +3.373432257439e-04,        +1.168710955434e-03,        +1.414213562373e-01,        +2.140128498688e-03,        +2.359014065106e-03,        +1.380301541548e-01,        -2.775938656712e-03,        +3.298762904426e-04,        +1.176235290440e-03,        +1.310477787612e-01,        -4.842556424117e-02,        +1.414213562373e-01,        +1.308516218945e-01,        -4.885777055918e-02,        +3.298762904443e-04,        +1.176235290440e-03,        +1.448415023756e-01,        -5.841069201642e-03,        +5.032583996108e-04,        +3.275975786995e-03,        +1.414213562373e-01,        +3.373432257432e-04,        +1.168710955434e-03,        +1.310477787612e-01,        -4.842556424117e-02,        +5.032583996106e-04,        +3.275975786995e-03,        +1.446888273147e-01,        -5.404354521201e-03
 1.56000000e+02,        +1.414213562373e-01,        +1.373416704108e-01,        -2.961381822461e-03,        +2.257591773068e-03,        +2.389771007528e-03,        +1.302337088087e-01,        -5.039166237721e-02,        +3.764143356736e-04,        +1.204244080504e-03,        +1.414213562373e-01,        +2.257591773068e-03,        +2.389771007527e-03,        +1.377393339743e-01,        -2.778835405616e-03,        +3.686803003552e-04,        +1.212431055277e-03,        +1.304428460382e-01,        -4.994719109450e-02,        +1.414213562373e-01,        +1.302337088087e-01,        -5.039166237721e-02,        +3.686803003548e-04,        +1.212431055278e-03,        +1.449653951833e-01,        -6.119488185141e-03,        +5.237181918195e-04,        +3.385385532949e-03,        +1.414213562373e-01,        +3.764143356734e-04,        +1.204244080503e-03,        +1.304428460382e-01,        -4.994719109450e-02,        +5.237181918201e-04,        +3.385385532949e-03,        +1.448050032762e-01,        -5.663239783009e-03
 1.61000000e+02,        +1.414213562373e-01,        +1.370195160120e-01,        -2.949925075109e-03,        +2.377440572957e-03,        +2.416304454713e-03,        +1.295965102281e-01,        -5.191839771703e-02,        +4.170260653778e-04,        +1.239152006823e-03,        +1.414213562373e-01,        +2.377440572958e-03,        +2.416304454713e-03,        +1.374411488553e-01,        -2.772221806733e-03,        +4.090433737167e-04,        +1.248031660419e-03,        +1.298190878021e-01,        -5.146187878140e-02,        +1.414213562373e-01,        +1.295965102281e-01,        -5.191839771703e-02,        +4.090433737163e-04,        +1.248031660419e-03,        +1.450901319401e-01,        -6.404331110755e-03,        +5.449750818494e-04,        +3.494986032958e-03,        +1.414213562373e-01,        +4.170260653781e-04,        +1.239152006824e-03,        +1.298190878021e-01,        -5.146187878140e-02,        +5.449750818496e-04,        +3.494986032959e-03,        +1.449219707820e-01,        -5.928127018975e-03
 1.66000000e+02,        +1.414213562373e-01,        +1.366898507465e-01,        -2.927729252754e-03,        +2.499548959356e-03,        +2.438511868926e-03,        +1.289400426285e-01,        -5.343772260475e-02,        +4.591871707822e-04,        +1.273393993424e-03,        +1.414213562373e-01,        +2.499548959356e-03,        +2.438511868926e-03,        +1.371358700139e-01,        -2.755841558126e-03,        +4.509764160002e-04,        +1.282995908783e-03,        +1.291765234050e-01,        -5.296938629434e-02,        +1.414213562373e-01,        +1.289400426285e-01,        -5.343772260475e-02,        +4.509764160000e-04,        +1.282995908783e-03,        +1.452155112442e-01,        -6.695709969082e-03,        +5.670465684564e-04,        +3.604775620858e-03,        +1.414213562373e-01,        +4.591871707827e-04,        +1.273393993424e-03,        +1.291765234050e-01,        -5.296938629434e-02,        +5.670465684571e-04,        +3.604775620859e-03,        +1.450395439056e-01,        -6.199121075047e-03
 1.71000000e+02,        +1.414213562373e-01,        +1.363529845092e-01,        -2.894523263831e-03,        +2.623787155473e-03,        +2.456293815236e-03,        +1.282643266372e-01,        -5.494937961653e-02,        +5.029057777798e-04,        +1.306927893433e-03,        +1.414213562373e-01,        +2.623787155472e-03,        +2.456293815236e-03,        +1.368237751980e-01,        -2.729444688571e-03,        +4.944897211414e-04,        +1.317281060399e-03,        +1.285151760039e-01,        -5.446946971077e-02,        +1.414213562373e-01,        +1.282643266372e-01,        -5.494937961653e-02,        +4.944897211417e-04,        +1.317281060400e-03,        +1.453413263308e-01,        -6.993731200374e-03,        +5.899502196060e-04,        +3.714752035392e-03,        +1.414213562373e-01,        +5.029057777795e-04,        +1.306927893433e-03,        +1.285151760039e-01,        -5.446946971077e-02,        +5.899502196059e-04,        +3.714752035392e-03,        +1.451575317692e-01,        -6.476321727384e-03
 1.76000000e+02,        +1.414213562373e-01,        +1.360092345781e-01,        -2.850043425830e-03,        +2.750021609378e-03,        +2.469554030400e-03,        +1.275693870983e-01,        -5.645310793625e-02,        +5.481893029942e-04,        +1.339710168461e-03,        +1.414213562373e-01,        +2.750021609378e-03,        +2.469554030399e-03,        +1.365051487203e-01,        -2.692787687964e-03,        +5.395928785594e-04,        +1.350842842633e-03,        +1.278350725894e-01,        -5.596188223613e-02,        +1.414213562373e-01,        +1.275693870983e-01,        -5.645310793625e-02,        +5.395928785592e-04,        +1.350842842634e-03,        +1.454673653156e-01,        -7.298495490554e-03,        +6.137036889409e-04,        +3.824912396117e-03,        +1.414213562373e-01,        +5.481893029938e-04,        +1.339710168460e-03,        +1.278350725894e-01,        -5.596188223613e-02,        +6.137036889409e-04,        +3.824912396116e-03,        +1.452757387668e-01,        -6.759823509744e-03
 1.81000000e+02,        +1.414213562373e-01,        +1.356589256128e-01,        -2.794033642083e-03,        +2.878115041353e-03,        +2.478199502931e-03,        +1.268552531619e-01,        -5.794864340954e-02,        +5.950443692811e-04,        +1.371695897169e-03,        +1.414213562373e-01,        +2.878115041353e-03,        +2.478199502931e-03,        +1.361802814819e-01,        -2.645633656449e-03,        +5.862946757436e-04,        +1.383635458399e-03,        +1.271362440413e-01,        -5.744637424128e-02,        +1.414213562373e-01,        +1.268552531619e-01,        -5.794864340954e-02,        +5.862946757442e-04,        +1.383635458400e-03,        +1.455934114287e-01,        -7.610097570808e-03,        +6.383247276282e-04,        +3.935253171905e-03,        +1.414213562373e-01,        +5.950443692804e-04,        +1.371695897168e-03,        +1.271362440413e-01,        -5.744637424128e-02,        +6.383247276279e-04,        +3.935253171904e-03,        +1.453939647747e-01,        -7.049715539442e-03
 1.86000000e+02,        +1.414213562373e-01,        +1.353023896401e-01,        -2.726245596530e-03,        +3.007926484339e-03,        +2.482140567426e-03,        +1.261219583955e-01,        -5.943571860067e-02,        +6.434767144280e-04,        +1.402838784657e-03,        +1.414213562373e-01,        +3.007926484338e-03,        +2.482140567426e-03,        +1.358494709832e-01,        -2.587752473097e-03,        +6.346029960776e-04,        +1.415611597643e-03,        +1.264187252099e-01,        -5.892269330216e-02,        +1.414213562373e-01,        +1.261219583955e-01,        -5.943571860067e-02,        +6.346029960780e-04,        +1.415611597643e-03,        +1.457192432440e-01,        -7.928626020891e-03,        +6.638311879298e-04,        +4.045770143661e-03,        +1.414213562373e-01,        +6.434767144271e-04,        +1.402838784656e-03,        +1.264187252099e-01,        -5.892269330216e-02,        +6.638311879290e-04,        +4.045770143661e-03,        +1.455120053572e-01,        -7.346081342231e-03
 1.91000000e+02,        +1.414213562373e-01,        +1.349399660228e-01,        -2.646438965104e-03,        +3.139311324746e-03,        +2.481291011969e-03,        +1.253695409136e-01,        -6.091406285695e-02,        +6.934910948278e-04,        +1.433091177657e-03,        +1.414213562373e-01,        +3.139311324746e-03,        +2.481291011969e-03,        +1.355130213149e-01,        -2.518920981115e-03,        +6.845247139010e-04,        +1.446722455688e-03,        +1.256825550167e-01,        -6.039058424722e-02,        +1.414213562373e-01,        +1.253695409136e-01,        -6.091406285695e-02,        +6.845247139009e-04,        +1.446722455688e-03,        +1.458446349091e-01,        -8.254163077647e-03,        +6.902410166880e-04,        +4.156458364315e-03,        +1.414213562373e-01,        +6.934910948272e-04,        +1.433091177657e-03,        +1.256825550167e-01,        -6.039058424722e-02,        +6.902410166876e-04,        +4.156458364314e-03,        +1.456296519729e-01,        -7.648998678775e-03
 1.96000000e+02,        +1.414213562373e-01,        +1.345720014086e-01,        -2.554381640015e-03,        +3.272121348266e-03,        +2.475568195213e-03,        +1.245980435199e-01,        -6.238340238336e-02,        +7.450911872979e-04,        +1.462404088085e-03,        +1.414213562373e-01,        +3.272121348266e-03,        +2.475568195213e-03,        +1.351712431292e-01,        -2.438923184844e-03,        +7.360655896291e-04,        +1.476917759916e-03,        +1.249277765687e-01,        -6.184978921560e-02,        +1.414213562373e-01,        +1.245980435199e-01,        -6.238340238336e-02,        +7.360655896289e-04,        +1.476917759915e-03,        +1.459693563769e-01,        -8.586784450501e-03,        +7.175722387279e-04,        +4.267312119215e-03,        +1.414213562373e-01,        +7.450911872985e-04,        +1.462404088086e-03,        +1.249277765687e-01,        -6.184978921560e-02,        +7.175722387286e-04,        +4.267312119216e-03,        +1.457466921840e-01,        -7.958539375801e-03
 2.01000000e+02,        +1.414213562373e-01,        +1.341988496575e-01,        -2.449849962646e-03,        +3.406204792742e-03,        +2.464893169291e-03,        +1.238075138582e-01,        -6.384346032822e-02,        +7.982794921275e-04,        +1.490727225402e-03,        +1.414213562373e-01,        +3.406204792742e-03,        +2.464893169291e-03,        +1.348244535896e-01,        -2.347550453808e-03,        +7.892301673603e-04,        +1.506145804655e-03,        +1.241544372822e-01,        -6.330004772640e-02,        +1.414213562373e-01,        +1.238075138582e-01,        -6.384346032822e-02,        +7.892301673603e-04,        +1.506145804656e-03,        +1.460931736394e-01,        -8.926559145239e-03,        +7.458429313581e-04,        +4.378324889302e-03,        +1.414213562373e-01,        +7.982794921268e-04,        +1.490727225403e-03,        +1.241544372822e-01,        -6.330004772640e-02,        +7.458429313574e-04,        +4.378324889302e-03,        +1.458629098693e-01,        -8.274769164417e-03
 2.06000000e+02,        +1.414213562373e-01,        +1.338208717499e-01,        -2.332628961240e-03,        +3.541406408408e-03,        +2.449190805345e-03,        +1.229980045685e-01,        -6.529395687969e-02,        +8.530572396117e-04,        +1.518009037004e-03,        +1.414213562373e-01,        +3.541406408408e-03,        +2.449190805345e-03,        +1.344729763026e-01,        -2.244601730116e-03,        +8.440216766039e-04,        +1.534353493348e-03,        +1.233625890102e-01,        -6.474109675854e-02,        +1.414213562373e-01,        +1.229980045685e-01,        -6.529395687969e-02,        +8.440216766031e-04,        +1.534353493348e-03,        +1.462158489646e-01,        -9.273549296798e-03,        +7.750711916112e-04,        +4.489489318477e-03,        +1.414213562373e-01,        +8.530572396111e-04,        +1.518009037004e-03,        +1.233625890102e-01,        -6.474109675854e-02,        +7.750711916108e-04,        +4.489489318476e-03,        +1.459780854406e-01,        -8.597747527033e-03
 2.11000000e+02,        +1.414213562373e-01,        +1.334384356759e-01,        -2.202512590556e-03,        +3.677567524844e-03,        +2.428389919445e-03,        +1.221695734452e-01,        -6.673460937241e-02,        +9.094243013984e-04,        +1.544196755372e-03,        +1.414213562373e-01,        +3.677567524843e-03,        +2.428389919445e-03,        +1.341171412321e-01,        -2.129883736691e-03,        +9.004419389785e-04,        +1.561486386758e-03,        +1.225522881728e-01,        -6.617267083994e-02,        +1.414213562373e-01,        +1.221695734452e-01,        -6.673460937241e-02,        +9.004419389788e-04,        +1.561486386758e-03,        +1.463371411360e-01,        -9.627810011321e-03,        +8.052750978463e-04,        +4.600797185853e-03,        +1.414213562373e-01,        +9.094243013982e-04,        +1.544196755372e-03,        +1.225522881728e-01,        -6.617267083994e-02,        +8.052750978461e-04,        +4.600797185854e-03,        +1.460919960618e-01,        -8.927527553497e-03
 2.16000000e+02,        +1.414213562373e-01,        +1.330519163082e-01,        -2.059303971505e-03,        +3.814526123713e-03,        +2.402423397546e-03,        +1.213222835963e-01,        -6.816513240356e-02,        +9.673791072338e-04,        +1.569236450689e-03,        +1.414213562373e-01,        +3.814526123714e-03,        +2.402423397546e-03,        +1.337572846001e-01,        -2.003211184791e-03,        +9.584912801878e-04,        +1.587488756179e-03,        +1.217235958882e-01,        -6.759450214497e-02,        +1.414213562373e-01,        +1.213222835963e-01,        -6.816513240356e-02,        +9.584912801872e-04,        +1.587488756178e-03,        +1.464568056942e-01,        -9.989389217436e-03,        +8.364726670443e-04,        +4.712239382989e-03,        +1.414213562373e-01,        +9.673791072338e-04,        +1.569236450689e-03,        +1.217235958882e-01,        -6.759450214497e-02,        +8.364726670444e-04,        +4.712239382989e-03,        +1.462044158709e-01,        -9.264155806483e-03
 2.21000000e+02,        +1.414213562373e-01,        +1.326616952594e-01,        -1.902815629544e-03,        +3.952116916410e-03,        +2.371228318763e-03,        +1.204562036027e-01,        -6.958523795774e-02,        +1.026918567247e-03,        +1.593073087905e-03,        +1.414213562373e-01,        +3.952116916409e-03,        +2.371228318762e-03,        +1.333937487734e-01,        -1.864406979970e-03,        +1.018168447222e-03,        +1.612303640790e-03,        +1.208765781026e-01,        -6.900632059928e-02,        +1.414213562373e-01,        +1.204562036027e-01,        -6.958523795774e-02,        +1.018168447222e-03,        +1.612303640790e-03,        +1.465745951814e-01,        -1.035832752658e-02,        +8.686818088094e-04,        +4.823805896013e-03,        +1.414213562373e-01,        +1.026918567245e-03,        +1.593073087906e-03,        +1.208765781026e-01,        -6.900632059928e-02,        +8.686818088081e-04,        +4.823805896014e-03,        +1.463151162033e-01,        -9.607672195885e-03
 2.26000000e+02,        +1.414213562373e-01,        +1.322681607267e-01,        -1.732869730970e-03,        +4.090171425925e-03,        +2.334746076607e-03,        +1.195714076750e-01,        -7.099463554025e-02,        +1.088037999686e-03,        +1.615650587465e-03,        +1.414213562373e-01,        +4.090171425925e-03,        +2.334746076607e-03,        +1.330268821402e-01,        -1.713302425997e-03,        +1.079470530706e-03,        +1.635872908592e-03,        +1.200113057188e-01,        -7.040785399151e-02,        +1.414213562373e-01,        +1.195714076750e-01,        -7.099463554025e-02,        +1.079470530706e-03,        +1.635872908592e-03,        +1.466902593888e-01,        -1.073465810226e-02,        +9.019202767953e-04,        +4.935485792429e-03,        +1.414213562373e-01,        +1.088037999686e-03,        +1.615650587466e-03,        +1.200113057188e-01,        -7.040785399151e-02,        +9.019202767956e-04,        +4.935485792430e-03,        +1.464238658173e-01,        -9.958109861963e-03
 2.31000000e+02,        +1.414213562373e-01,        +1.318717073229e-01,        -1.549298316541e-03,        +4.228518072450e-03,        +2.292922497986e-03,        +1.186679758096e-01,        -7.239303231851e-02,        +1.150731063982e-03,        +1.636911889160e-03,        +1.414213562373e-01,        +4.228518072450e-03,        +2.292922497986e-03,        +1.326570389762e-01,        -1.549737426426e-03,        +1.142392892227e-03,        +1.658137320516e-03,        +1.191278547241e-01,        -7.179882809133e-02,        +1.414213562373e-01,        +1.186679758096e-01,        -7.239303231851e-02,        +1.142392892227e-03,        +1.658137320516e-03,        +1.468035456063e-01,        -1.111840653811e-02,        +9.362056180570e-04,        +5.047267212399e-03,        +1.414213562373e-01,        +1.150731063982e-03,        +1.636911889160e-03,        +1.191278547241e-01,        -7.179882809133e-02,        +9.362056180573e-04,        +5.047267212398e-03,        +1.465304311215e-01,        -1.031549506694e-02
 2.36000000e+02,        +1.414213562373e-01,        +1.314727358973e-01,        -1.351943531946e-03,        +4.366982262370e-03,        +2.245707959823e-03,        +1.177459939408e-01,        -7.378013327142e-02,        +1.214989699014e-03,        +1.656799018736e-03,        +1.414213562373e-01,        +4.366982262370e-03,        +2.245707959824e-03,        +1.322845793008e-01,        -1.373560683567e-03,        +1.206929096608e-03,        +1.679036597441e-03,        +1.182263063141e-01,        -7.317896677387e-02,        +1.414213562373e-01,        +1.177459939408e-01,        -7.378013327142e-02,        +1.206929096608e-03,        +1.679036597440e-03,        +1.469141988763e-01,        -1.150959074484e-02,        +9.715551207018e-04,        +5.159137364370e-03,        +1.414213562373e-01,        +1.214989699015e-03,        +1.656799018737e-03,        +1.182263063141e-01,        -7.317896677387e-02,        +9.715551207026e-04,        +5.159137364370e-03,        +1.466345764048e-01,        -1.067984709499e-02
 2.41000000e+02,        +1.414213562373e-01,        +1.310716533439e-01,        -1.140657854669e-03,        +4.505386480403e-03,        +2.193057503132e-03,        +1.168055540900e-01,        -7.515564134652e-02,        +1.280804066560e-03,        +1.675253156966e-03,        +1.414213562373e-01,        +4.505386480404e-03,        +2.193057503132e-03,        +1.319098687258e-01,        -1.184629894597e-03,        +1.273070849150e-03,        +1.698509489893e-03,        +1.173067470152e-01,        -7.454799215014e-02,        +1.414213562373e-01,        +1.168055540900e-01,        -7.515564134652e-02,        +1.273070849150e-03,        +1.698509489894e-03,        +1.470219622496e-01,        -1.190822084614e-02,        +1.007985760111e-03,        +5.271082524957e-03,        +1.414213562373e-01,        +1.280804066560e-03,        +1.675253156967e-03,        +1.173067470152e-01,        -7.454799215014e-02,        +1.007985760110e-03,        +5.271082524958e-03,        +1.467360640680e-01,        -1.105117816045e-02
 2.46000000e+02,        +1.414213562373e-01,        +1.306688724013e-01,        -9.153043167930e-04,        +4.643550384648e-03,        +2.134930944333e-03,        +1.158467545109e-01,        -7.651925762492e-02,        +1.348162499939e-03,        +1.692214710948e-03,        +1.414213562373e-01,        +4.643550384648e-03,        +2.134930944333e-03,        +1.315332782950e-01,        -9.828119445124e-04,        +1.340807937917e-03,        +1.716493850228e-03,        +1.163692688025e-01,        -7.590562470345e-02,        +1.414213562373e-01,        +1.158467545109e-01,        -7.651925762492e-02,        +1.340807937918e-03,        +1.716493850229e-03,        +1.471265770453e-01,        -1.231429908370e-02,        +1.045514143972e-03,        +5.383088043067e-03,        +1.414213562373e-01,        +1.348162499940e-03,        +1.692214710948e-03,        +1.163692688025e-01,        -7.590562470345e-02,        +1.045514143972e-03,        +5.383088043067e-03,        +1.468346548580e-01,        -1.142949332451e-02
