        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            Re{I[4][1]} (A),            Im{I[4][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            Re{I[4][2]} (A),            Im{I[4][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A),            Re{I[4][3]} (A),            Im{I[4][3]} (A),            I_inc[4][4] (A),            Re{I[1][4]} (A),            Im{I[1][4]} (A),            Re{I[2][4]} (A),            Im{I[2][4]} (A),            Re{I[3][4]} (A),            Im{I[3][4]} (A),            Re{I[4][4]} (A),            Im{I[4][4]} (A)
 5.10000000e+01,        +1.414213562373e-01,        +1.418934267235e-01,        -1.272165633183e-03,        +4.466846859019e-04,        +1.038082801736e-03,        +1.391754606319e-01,        -1.703425625925e-02,        -1.333788161218e-04,        +3.760663156851e-04,        +1.414213562373e-01,        +4.466846859025e-04,        +1.038082801733e-03,        +1.419315109176e-01,        -1.166822528194e-03,        -1.346252653945e-04,        +3.764726233671e-04,        +1.392025799944e-01,        -1.687786310721e-02,        +1.414213562373e-01,        +1.391754606319e-01,        -1.703425625925e-02,        -1.346252653952e-04,        +3.764726233696e-04,        +1.427869099091e-01,        -1.412024284441e-03,        +2.330991187958e-04,        +1.126469406781e-03,        +1.414213562373e-01,        -1.333788161225e-04,        +3.760663156850e-04,        +1.392025799944e-01,        -1.687786310721e-02,        +2.330991187954e-04,        +1.126469406781e-03,        +1.427574944073e-01,        -1.291401651760e-03
 5.60000000e+01,        +1.414213562373e-01,        +1.417899991764e-01,        -1.411981954255e-03,        +4.970635398346e-04,        +1.127879462590e-03,        +1.389387557673e-01,        -1.866392549659e-02,        -1.237751622580e-04,        +4.178848931990e-04,        +1.414213562373e-01,        +4.970635398318e-04,        +1.127879462590e-03,        +1.418374668117e-01,        -1.297276012039e-03,        -1.252606018232e-04,        +4.184047225681e-04,        +1.389704923689e-01,        -1.849280215675e-02,        +1.414213562373e-01,        +1.389387557673e-01,        -1.866392549659e-02,        -1.252606018205e-04,        +4.184047225678e-04,        +1.428639511144e-01,        -1.591400340870e-03,        +2.417633711081e-04,        +1.232319584650e-03,        +1.414213562373e-01,        -1.237751622600e-04,        +4.178848931986e-04,        +1.389704923689e-01,        -1.849280215675e-02,        +2.417633711063e-04,        +1.232319584650e-03,        +1.428304660020e-01,        -1.457687761233e-03
 6.10000000e+01,        +1.414213562373e-01,        +1.416735132932e-01,        -1.548252361537e-03,        +5.512923448793e-04,        +1.216011716509e-03,        +1.386838690860e-01,        -2.029068627567e-02,        -1.126248483800e-04,        +4.595720822128e-04,        +1.414213562373e-01,        +5.512923448791e-04,        +1.216011716508e-03,        +1.417312450567e-01,        -1.424549468809e-03,        -1.143665095413e-04,        +4.602253304168e-04,        +1.387206038526e-01,        -2.010490457408e-02,        +1.414213562373e-01,        +1.386838690860e-01,        -2.029068627567e-02,        -1.143665095413e-04,        +4.602253304176e-04,        +1.429437834616e-01,        -1.774297996424e-03,        +2.507296124450e-04,        +1.338335131643e-03,        +1.414213562373e-01,        -1.126248483815e-04,        +4.595720822125e-04,        +1.387206038526e-01,        -2.010490457408e-02,        +2.507296124439e-04,        +1.338335131643e-03,        +1.429059548290e-01,        -1.627277892488e-03
 6.60000000e+01,        +1.414213562373e-01,        +1.415443494135e-01,        -1.680557826611e-03,        +6.093773073891e-04,        +1.302328852370e-03,        +1.384105385427e-01,        -2.191437030441e-02,        -9.997203276010e-05,        +5.011199375148e-04,        +1.414213562373e-01,        +6.093773073900e-04,        +1.302328852370e-03,        +1.416132133252e-01,        -1.548257288249e-03,        -1.019856320724e-04,        +5.019277823419e-04,        +1.384526556076e-01,        -2.171400480675e-02,        +1.414213562373e-01,        +1.384105385427e-01,        -2.191437030441e-02,        -1.019856320738e-04,        +5.019277823412e-04,        +1.430265477705e-01,        -1.960853562417e-03,        +2.600586007453e-04,        +1.444512543947e-03,        +1.414213562373e-01,        -9.997203276054e-05,        +5.011199375146e-04,        +1.384526556076e-01,        -2.171400480675e-02,        +2.600586007452e-04,        +1.444512543947e-03,        +1.429841087394e-01,        -1.800295930060e-03
 7.10000000e+01,        +1.414213562373e-01,        +1.414028233961e-01,        -1.808498242042e-03,        +6.713054219277e-04,        +1.386684020641e-03,        +1.381185746161e-01,        -2.353479882544e-02,        -8.584552072125e-05,        +5.425177723712e-04,        +1.414213562373e-01,        +6.713054219282e-04,        +1.386684020642e-03,        +1.414836740843e-01,        -1.668032825758e-03,        -8.814526941183e-05,        +5.435025738152e-04,        +1.381664613459e-01,        -2.331992705677e-02,        +1.414213562373e-01,        +1.381185746161e-01,        -2.353479882544e-02,        -8.814526941240e-05,        +5.435025738146e-04,        +1.431123120837e-01,        -2.151216196780e-03,        +2.697974299987e-04,        +1.550850721136e-03,        +1.414213562373e-01,        -8.584552072155e-05,        +5.425177723714e-04,        +1.381664613459e-01,        -2.331992705677e-02,        +2.697974299984e-04,        +1.550850721136e-03,        +1.430650034666e-01,        -1.976879059747e-03
 7.60000000e+01,        +1.414213562373e-01,        +1.412492111901e-01,        -1.931683874070e-03,        +7.370500121127e-04,        +1.468933798451e-03,        +1.378078357547e-01,        -2.515178823109e-02,        -7.026404759746e-05,        +5.837523414039e-04,        +1.414213562373e-01,        +7.370500121101e-04,        +1.468933798451e-03,        +1.413428889770e-01,        -1.783519675469e-03,        -7.286264208586e-05,        +5.849375612596e-04,        +1.378618829319e-01,        -2.492249099614e-02,        +1.414213562373e-01,        +1.378078357547e-01,        -2.515178823109e-02,        -7.286264208339e-05,        +5.849375612593e-04,        +1.432010945947e-01,        -2.345540176214e-03,        +2.799844624543e-04,        +1.657350414209e-03,        +1.414213562373e-01,        -7.026404759885e-05,        +5.837523414034e-04,        +1.378618829319e-01,        -2.492249099614e-02,        +2.799844624531e-04,        +1.657350414209e-03,        +1.431486653486e-01,        -2.157169907464e-03
 8.10000000e+01,        +1.414213562373e-01,        +1.410837646006e-01,        -2.049732013600e-03,        +8.065740018069e-04,        +1.548937565659e-03,        +1.374782128527e-01,        -2.676515164998e-02,        -5.323943194505e-05,        +6.248082752220e-04,        +1.414213562373e-01,        +8.065740018071e-04,        +1.548937565658e-03,        +1.411910945042e-01,        -1.894368180542e-03,        -5.614802983397e-05,        +6.262184046922e-04,        +1.375388149111e-01,        -2.652151344282e-02,        +1.414213562373e-01,        +1.374782128527e-01,        -2.676515164998e-02,        -5.614802983456e-05,        +6.262184046923e-04,        +1.432928781079e-01,        -2.543981793427e-03,        +2.906522600714e-04,        +1.764013578263e-03,        +1.414213562373e-01,        -5.323943194509e-05,        +6.248082752221e-04,        +1.375388149111e-01,        -2.652151344282e-02,        +2.906522600717e-04,        +1.764013578264e-03,        +1.432350857035e-01,        -2.341313335745e-03
 8.60000000e+01,        +1.414213562373e-01,        +1.409067214014e-01,        -2.162265839796e-03,        +8.798318696470e-04,        +1.626556989956e-03,        +1.371296194479e-01,        -2.837469902435e-02,        -3.477849610603e-05,        +6.656684622671e-04,        +1.414213562373e-01,        +8.798318696474e-04,        +1.626556989957e-03,        +1.410285121090e-01,        -2.000234192303e-03,        -3.800668202949e-05,        +6.673289515748e-04,        +1.371971747062e-01,        -2.811680850510e-02,        +1.414213562373e-01,        +1.371296194479e-01,        -2.837469902435e-02,        -3.800668202974e-05,        +6.673289515740e-04,        +1.433876191490e-01,        -2.746698124560e-03,        +3.018293620519e-04,        +1.870842851052e-03,        +1.414213562373e-01,        -3.477849610720e-05,        +6.656684622693e-04,        +1.371971747062e-01,        -2.811680850510e-02,        +3.018293620506e-04,        +1.870842851054e-03,        +1.433242299158e-01,        -2.529455147519e-03
 9.10000000e+01,        +1.414213562373e-01,        +1.407183118793e-01,        -2.268914149144e-03,        +9.567708455593e-04,        +1.701655684937e-03,        +1.367619854904e-01,        -2.998023675444e-02,        -1.488427813061e-05,        +7.063143038634e-04,        +1.414213562373e-01,        +9.567708455608e-04,        +1.701655684936e-03,        +1.408553547213e-01,        -2.100778723699e-03,        -1.844002326531e-05,        +7.082514903973e-04,        +1.368368963572e-01,        -2.970818727111e-02,        +1.414213562373e-01,        +1.367619854904e-01,        -2.998023675444e-02,        -1.844002326688e-05,        +7.082514903980e-04,        +1.434852537594e-01,        -2.953846461858e-03,        +3.135413998417e-04,        +1.977841192007e-03,        +1.414213562373e-01,        -1.488427813088e-05,        +7.063143038627e-04,        +1.368368963572e-01,        -2.970818727111e-02,        +3.135413998414e-04,        +1.977841192007e-03,        +1.434160432387e-01,        -2.721741486874e-03
 9.60000000e+01,        +1.414213562373e-01,        +1.405187631405e-01,        -2.369311372064e-03,        +1.037331671326e-03,        +1.774099022411e-03,        +1.363752533266e-01,        -3.158156732579e-02,        +6.443163595782e-06,        +7.467258509513e-04,        +1.414213562373e-01,        +1.037331671326e-03,        +1.774099022410e-03,        +1.406718310766e-01,        -2.195667911593e-03,        +2.553545028122e-06,        +7.489668841629e-04,        +1.364579264648e-01,        -3.129545746375e-02,        +1.414213562373e-01,        +1.363752533266e-01,        -3.158156732579e-02,        +2.553545027821e-06,        +7.489668841633e-04,        +1.435857012605e-01,        -3.165583922429e-03,        +3.258118306586e-04,        +2.085011654536e-03,        +1.414213562373e-01,        +6.443163595653e-06,        +7.467258509510e-04,        +1.364579264648e-01,        -3.129545746375e-02,        +3.258118306588e-04,        +2.085011654536e-03,        +1.435104545756e-01,        -2.918318439927e-03
